# text	codes
较少	jr ua
较广	jr gg
较弱	jr ru
较强	jr qg
较快	jr kl
较晚	jr wo
较深	jr uz
较真	jr iz
较短	jr dh
较轻	jr ql
较近	jr jm
较重	jr iq
较量	jr lg
较长	jr vs
较难	jr no
较高	jr ga
辄	ie#9 / ie;l
辅	fj#26 / fj;v'
辅仁大学	fj rz dy xf
辅佐	fj zu
辅助	fj ij
辅助性	fj ij xl
辅助码	fj ij my
辅导	fj da
辅导员	fj da yh
辅料	fj lr
辅码	fj my
辆	lg. / lg;k
辇	nc#11 / nc;u
辈	bp#10 / bp;a
辉	hk#8 / hk;v
辉煌	hk hg
辊	gd#6 / gd;o
辋	ws#14 / ws;w
辌	lg#16 / lg;w
辍	vu. / vu;b
辍学	vu xf
辍笔	vu bn
辎	zn#17 / zn;c
辏	ct' / ct;y
辐	fj#36 / fj;k'
辐射	fj ue
辑	jn#36 / jn;k'
辒	wz#19 / wz;g
输	uj#6 / uj;l
输了	uj le
输入	uj rj
输入法	uj rj fy
输出	uj vj
输得	uj de
输掉	uj dr
输氧	uj ys
输给	uj gp
输赢	uj yl
输送	uj sq
辔	pp#10 / pp;s
辕	yh#19 / yh;u
辖	xw#7 / xw;x
辗	io#17 / io;j
辗转	io ih
辗转反侧	io ih fo ce
辗转难眠	io ih no mc
辘	lj#24 / lj;q'
辙	ie#8 / ie;g
辚	lm#23 / lm;q'
辛	xm. / xm;k
辛劳	xm la
辛勤	xm qm
辛苦	xm kj
辛辛苦苦	xm xm kj kj
辛辣	xm ly
辜	gj#14 / gj;r
辜负	gj fj
辜负了	gj fj le
辞	cn#6 / cn;o
辞了	cn le
辞别	cn bv
辞去	cn qj
辞呈	cn vi
辞工	cn gq
辞掉	cn dr
辞旧迎新	cn jb yl xm
辞海	cn hx
辞职	cn in
辞藻	cn za
辞谢	cn xv
辞退	cn tk
辟	pn#10 / pn;e / bn#67 / bn;e#5
辟谣	pn ya
辟邪	pn xv'
辣	ly, / ly;f
辣味	ly wp
辣妹	ly mp
辣子	ly zn
辣手摧花	ly ut ck hw
辣条	ly tr
辣椒	ly jr
辣椒酱	ly jr jg
辨	bc#8 / bc;a
辨别	bc bv
辨明	bc ml
辨认	bc rz
辨识	bc un
辨识度	bc un dj
辩	bc#6 / bc;j
辩才	bc cx
辩护	bc hj
辩白	bc bx
辩解	bc jv
辩论	bc ld
辩证	bc ii
辩证法	bc ii fy
辩词	bc cn
辩驳	bc bu
辫	bc#11 / bc;u
辫子	bc zn
辰	vz#7 / vz;e
辱	rj. / rj;q
辱没	rj mp
辱骂	rj my
边	bc' / bc;p
边上	bc us
边关	bc gh
边卡	bc ky
边塞	bc sx
边境	bc jl
边框	bc kg
边检	bc jc
边沿	bc yo
边疆	bc jg
边缘	bc yh
边缘化	bc yh hw
边贸	bc ma
边锋	bc fi
边长	bc vs
边门	bc mz
边防	bc fs
边陲	bc vk
辽	lr, / lr;o
辽宁	lr nl
辽宁大学	lr nl dy xf
辽宁省	lr nl ui
辽河	lr he
辽阔	lr ku
达	dy. / dy;f
达人知命	dy rz in ml
达则兼济天下	dy ze jc jn tc xw
达到	dy da
达官显贵	dy gh xc gk
达官贵人	dy gh gk rz
达成	dy vi
达成一致	dy vi yn in
达斡尔族	dy wu ah zj
达标	dy br
达观	dy gh
达观知命	dy gh in ml
达赖	dy lx
辿	vo#35 / vo;b'
迁	qc#8 / qc;q
迁就	qc jb
迁居	qc jj
迁怒	qc nj
迁怒于人	qc nj yj rz
迁移	qc yn
迁都	qc dt
迂	yj#41 / yj;k'
迂回	yj hk
迂回曲折	yj hk qj ie
迂腐	yj fj'
迄	qn#28 / qn;y'
迄今	qn jm
迄今为止	qn jm wp in
迅	xd, / xd;i
迅即	xd jn
迅捷	xd jv
迅猛	xd mi
迅速	xd sj
迅雷	xd lp
迅雷不及掩耳	xd lp bj jn yo ah
过	gu / gu;f
过一天算一天	gu yn tc sh yn tc
过一段	gu yn dh
过一遍	gu yn bc
过不去	gu bj qj
过两天	gu lg tc
过两年	gu lg nc
过了	gu le
过了这个村就没这个店	gu le ie ge cd jb mp ie ge dc
过了这个村就没这个店了	gu le ie ge cd jb mp ie ge dc le
过于	gu yj
过五关斩六将	gu wj gh io lb jg
过些	gu xv
过从甚密	gu cq uz mn
过低	gu dn
过关	gu gh
过关斩将	gu gh io jg
过分	gu fz
过剩	gu ui
过半	gu bo
过去	gu qj
过去了	gu qj le
过去时	gu qj un
过去的	gu qj de
过后	gu ht
过场	gu vs
过多	gu du
过夜	gu ye
过头	gu tt
过奖	gu jg
过好	gu ha
过完	gu wo
过客	gu ke
过宽	gu kh
过山车	gu uo ve
过年	gu nc
过度	gu dj
过当	gu ds
过往	gu ws'
过得	gu de
过得去	gu de qj
过意不去	gu yn bj qj
过户	gu hj
过手	gu ut
过把瘾	gu by ym
过招	gu ia
过敏	gu mm'
过日子	gu rn zn
过早	gu za
过时	gu un
过期	gu qn
过期作废	gu qn zu fp
过来	gu lx
过来人	gu lx rz
过桥	gu qr
过江之鲫	gu jg in jn
过河	gu he
过河拆桥	gu he vx qr
过渡	gu dj'
过滤	gu lk
过热	gu re
过犹不及	gu yt bj jn
过电	gu dc
过瘾	gu ym
过目	gu mj
过目不忘	gu mj bj ws
过目成诵	gu mj vi sq
过眼	gu yo
过眼云烟	gu yo yd yo
过着	gu ie
过磅	gu bs
过程	gu vi
过程中	gu vi iq
过站	gu io
过线	gu xc
过而能改	gu ah ni gx
过膝	gu xn
过节	gu jv
过街老鼠	gu jv la uj
过谦	gu qc
过账	gu is
过路	gu lj
过身	gu uz
过重	gu iq
过量	gu lg
过错	gu cu
过问	gu wz
过高	gu ga
迈	mx#5 / mx;v
迈上	mx us
迈入	mx rj'
迈出	mx vj'
迈向	mx xg
迈巴赫	mx by he
迈步	mx bj
迈过	mx gu'
迎	yl#7 / yl;i
迎候	yl ht
迎刃而解	yl rz ah jv
迎合	yl he
迎头	yl tt
迎头痛击	yl tt tq jn
迎头赶上	yl tt go us
迎宾	yl bm
迎战	yl io
迎接	yl jv
迎新	yl xm
迎春	yl vd
迎来	yl lx
迎来送往	yl lx sq ws
迎着	yl ie
迎难而上	yl no ah us
迎面	yl mc
迎面而来	yl mc ah lx
迎风	yl fi
运	yd' / yd;o
运作	yd zu
运动	yd dq
运动鞋	yd dq xv
运单	yd do
运往	yd ws
运抵	yd dn
运指如飞	yd in rj fp
运气	yd qn
运河	yd he
运球	yd qb
运用	yd yq
运用自如	yd yq zn rj
运程	yd vi
运筹	yd vt
运筹帷幄	yd vt wp wu
运筹帷幄之中	yd vt wp wu in iq
运算	yd sh
运营	yd yl
运行	yd xl
运费	yd fp
运走	yd zt
运转	yd ih
运载	yd zx
运输	yd uj
运送	yd sq
运钞	yd va
近	jm' / jm;x
近义词	jm yn cn
近乎	jm hj
近乡情怯	jm xg ql qv
近亲	jm qm
近代	jm dx
近代文学	jm dx wz xf
近似	jm sn
近况	jm kg
近几天	jm jn tc
近几年	jm jn nc
近在咫尺	jm zx in vn
近在眼前	jm zx yo qc
近墨者黑	jm mu ie hp
近日无仇	jm rn wj vt
近期	jm qn
近朱者赤	jm ij ie vn
近水楼台	jm uk lt tx
近水楼台先得月	jm uk lt tx xc de yf
近百	jm bx
近看	jm ko
近视	jm un
近路	jm lj
近邻	jm lm
近郊	jm jr
迓	yy#25 / yy;z'
返	fo#10 / fo;f
返修	fo xb
返回	fo hk
返工	fo gq
返校	fo xr
返现	fo xc
返璞归真	fo pj gk iz
返祖	fo zj
返程	fo vi
返老还童	fo la hh tq
返聘	fo pm
返航	fo hs
返还	fo hh
迕	wj#45 / wj;u'
还	hx / hx;z
还不	hx bj
还不一定	hx bj yn dl
还不到	hx bj da
还不够	hx bj gt
还不如	hx bj rj
还不如说	hx bj rj uu
还不少	hx bj ua
还不快	hx bj kl
还不是	hx bj un
还不止	hx bj in
还不知道	hx bj in da
还不能	hx bj ni
还不至于	hx bj in yj
还不行	hx bj xl
还不足以	hx bj zj yn
还不错	hx bj cu
还价	hh jw
还会	hx hk
还俗	hh sj
还债	hh ix
还击	hh jn
还剩	hx ui
还原	hh yh
还口	hh kt
还可以	hx ke yn
还嘴	hx zk
还在	hx zx
还好	hx ha
还好不是	hx ha bj un
还好吧	hx ha by
还差	hx vy
还差一点	hx vy yn dc
还得	hx de
还想	hx xg
还手	hh ut
还手之力	hh ut in ln
还早	hx za
还是	hx un
还是不错	hx un bj cu
还有	hx yt
还有不少	hx yt bj ua
还未	hx wp
还本	hh bz
还本付息	hh bz fj xn
还款	hh kh
还没	hx mp
还用	hx yq
还看	hx ko
还礼	hh ln
还算	hx sh
还给	hh gp
还能	hx ni
还能怎样	hx ni zz ys
还能这样	hx ni ie ys
还行	hx xl
还行吧	hx xl by
还要	hx ya
还说	hx uu
还账	hh is
还贷	hx dx'
还钱	hh qc
还长	hx vs
还需	hx xj
这	ie / ie;s
这一回	ie yn hk
这一块	ie yn kl
这一天	ie yn tc
这一套	ie yn ta
这一次	ie yn cn
这下	ie xw
这不就是	ie bj jb un
这不是	ie bj un
这两天	ie lg tc
这个	ie ge
这个人	ie ge rz
这个倒是	ie ge da un
这个字	ie ge zn
这个时候	ie ge un ht
这个样子	ie ge ys zn
这个问题	ie ge wz tn
这么	ie me
这么丑	ie me vt
这么久	ie me jb
这么回事	ie me hk un
这么多	ie me du
这么多人	ie me du rz
这么多年	ie me du nc
这么大	ie me dy
这么好	ie me ha
这么小	ie me xr
这么少	ie me ua
这么巧	ie me qr
这么差	ie me vy
这么快	ie me kl
这么想	ie me xg
这么慢	ie me mo
这么懒	ie me lo
这么早	ie me za
这么晚	ie me wo
这么爽	ie me ug
这么猛	ie me mi
这么笨	ie me bz
这么简单	ie me jc do
这么胖	ie me ps
这么说	ie me uu
这么贵	ie me gk
这么远	ie me yh
这么难	ie me no
这么麻烦	ie me my fo
这也算	ie ye sh
这些	ie xv
这些人	ie xv rz
这些天	ie xv tc
这些年	ie xv nc
这些年来	ie xv nc lx
这些日子	ie xv rn zn
这些话	ie xv hw
这件	ie jc
这份	ie fz
这位	ie wp
这倒也是	ie da ye un
这倒是	ie da un
这儿	ie ah
这几天	ie jn tc
这几年	ie jn nc
这厮	ie sn
这句	ie jj
这句话	ie jj hw
这可是	ie ke un
这回	ie hk
这回事	ie hk un
这届	ie jv
这山望着那山高	ie uo ws ie ny uo ga
这帮	ie bs
这张	ie is
这批	ie pn
这时	ie un
这期	ie qn
这条路	ie tr lj
这枚	ie mp
这样	ie ys
这样一来	ie ys yn lx
这样下去	ie ys xw qj
这样也行	ie ys ye xl
这样子	ie ys zn
这样的话	ie ys de hw
这样看来	ie ys ko lx
这样说来	ie ys uu lx
这样那样	ie ys ny ys
这样都行	ie ys dt xl
这次	ie cn
这段话	ie dh hw
这点	ie dc
这种	ie iq
这种事	ie iq un
这篇	ie pc
这话说的	ie hw uu de
这辈子	ie bp zn
这边	ie bc
这还不算	ie hx bj sh
这部	ie bj
这里	ie ln
这项	ie xg
进	jm / jm;o
进一步	jm yn bj
进价	jm jw
进修	jm xb
进入	jm rj
进军	jm jd
进出	jm vj
进化	jm hw
进去	jm qj
进取心	jm qj xm
进口	jm kt
进场	jm vs
进屋	jm wj
进展	jm io
进度	jm dj
进攻	jm gq
进来	jm lx
进步	jm bj
进水	jm uk
进球	jm qb
进程	jm vi
进而	jm ah
进行	jm xl
进货	jm hu
进进出出	jm jm vj vj
进退	jm tk
进退两难	jm tk lg no
进退失据	jm tk un jj
进退无门	jm tk wj mz
进退维谷	jm tk wp gj
进门	jm mz
进阶	jm jv
进项	jm xg
进餐	jm co
进驻	jm ij
远	yh, / yh;a
远东	yh dq
远交近攻	yh jr jm gq
远亲	yh qm
远亲不如近邻	yh qm bj rj jm lm
远在天边	yh zx tc bc
远处	yh vj
远大	yh dy
远射	yh ue
远征	yh ii
远方	yh fs
远景	yh jl
远来和尚好看经	yh lx he us ha ko jl
远比	yh bn
远渡重洋	yh dj iq ys
远看	yh ko
远眺	yh tr
远着	yh ie
远离	yh ln'
远程	yh vi
远胜于我	yh ui yj wu
远航	yh hs
远虑	yh lk
远见卓识	yh jc iu un
远谋	yh mt
远走他乡	yh zt ty xg
远走高飞	yh zt ga fp
远足	yh zj
远近	yh jm
远近闻名	yh jm wz ml
远近高低各不同	yh jm ga dn ge bj tq
远远	yh yh
远道	yh da
远道而来	yh da ah lx
远门	yh mz
远隔	yh ge
远非	yh fp
违	wp#20 / wp;e
违令	wp ll
违反	wp fo
违抗	wp ks
违法	wp fy
违法乱纪	wp fy lh jn
违法必究	wp fy bn jb
违章	wp is
违约	wp yf
违背	wp bp
违规	wp gk
连	lc / lc;q
连下两城	lc xw lg vi
连个	lc ge
连中三元	lc iq so yh
连串	lc vh
连体	lc tn
连发	lc fy
连号	lc ha
连同	lc tq
连哄带骗	lc hq dx pc
连坐	lc zu
连夜	lc ye
连天	lc tc
连带	lc dx
连带责任	lc dx ze rz
连年	lc nc
连忙	lc ms
连打	lc dy
连接	lc jv
连日	lc rn
连本带利	lc bz dx ln
连滚带爬	lc gd dx py
连珠	lc ij
连理	lc ln
连着	lc ie
连篇	lc pc
连篇累牍	lc pc lp dj
连累	lc lp
连线	lc xc
连续	lc xj
连续剧	lc xj jj
连续性	lc xj xl
连绵不断	lc mc bj dh
连绵不绝	lc mc bj jf
连缀	lc ik
连胜	lc ui
连衣裙	lc yn qd
连襟	lc jm
连词	lc cn
连贯	lc gh
连轴转	lc it ih
连载	lc zx
连遭	lc za
连锁	lc su
连锁反应	lc su fo yl
连锅端	lc gu dh
连长	lc is
连闯	lc vg
连队	lc dk
迟	vn#5 / vn;x
迟了	vn le'
迟到	vn da
迟到早退	vn da za tk
迟延	vn yo
迟早	vn za
迟早的事	vn za de un
迟暮	vn mj
迟暮之年	vn mj in nc
迟来	vn lx
迟滞	vn in
迟疑	vn yn
迟疑不决	vn yn bj jf
迟缓	vn hh
迟误	vn wj
迟迟	vn vn
迟钝	vn dd
迢	tr#6 / tr;e
迤	yn#72 / yn;a.
迥	jq, / jq;v
迥异	jq yn
迥然	jq ro
迥然不同	jq ro bj tq
迦	jw#14 / jw;l
迨	dx#15 / dx;e
迩	ah#9 / ah;p
迪	dn#11 / dn;k
迪厅	dn tl
迪士尼	dn un nn
迪拜	dn bx
迫	pu. / pu;l
迫不及待	pu bj jn dx
迫不得已	pu bj de yn
迫于	pu yj
迫使	pu un
迫切	pu qv
迫切需要	pu qv xj ya
迫在眉睫	pu zx mp jv
迫害	pu hx
迫近	pu jm
迫降	pu jg
迭	dv#7 / dv;y
迭代	dv dx
迮	ze#12 / ze;r
述	uj#9 / uj;m
述说	uj uu
迳	jl#31 / jl;j'
迷	mn' / mn;e
迷上	mn us
迷乱	mn lh
迷人	mn rz
迷住	mn ij
迷你	mn nn
迷信	mn xm
迷倒	mn da
迷失	mn un
迷宫	mn gq
迷幻	mn hh
迷彩	mn cx
迷恋	mn lc
迷惑	mn hu
迷惑不解	mn hu bj jv
迷惘	mn ws
迷瞪	mn di
迷离	mn ln
迷糊	mn hj
迷茫	mn ms
迷药	mn ya
迷蒙	mn mi
迷路	mn lj
迷迷糊糊	mn mn hj hj
迷途	mn tj
迷途知返	mn tj in fo
迷途羔羊	mn tj ga ys
迷醉	mn zk
迷雾	mn wj
迷魂	mn hd
迷魂汤	mn hd ts
迷魂阵	mn hd iz
迸	bi#6 / bi;f
迸发	bi fy
迸射	bi ue
迹	jn#34 / jn;j'
迹象	jn xg
迺	nx#10 / nx;j
追	ik / ik;z
追上	ik us
追亡逐北	ik ws ij bp
追债	ik ix
追偿	ik vs
追兵	ik bl
追剧	ik jj
追加	ik jw
追回	ik hk
追寻	ik xd
追尾	ik wp
追忆	ik yn
追思	ik sn
追悔莫及	ik hk mu jn
追悼	ik da
追打	ik dy
追捕	ik bj
追捧	ik pi
追星	ik xl
追本溯源	ik bz sj yh
追杀	ik uy
追来	ik lx
追查	ik vy
追根溯源	ik gz sj yh
追根究底	ik gz jb dn
追求	ik qb
追涨	ik is
追涨杀跌	ik is uy dv
追溯	ik sj
追着	ik ie
追究	ik jb
追索	ik su
追缴	ik jr
追认	ik rz
追赃	ik zs
追赶	ik go
追踪	ik zq
追逐	ik ij
追问	ik wz
追随	ik sk
追风	ik fi
追高	ik ga
退	tk, / tk;w
退一万步	tk yn wo bj
退一万步说	tk yn wo bj uu
退一步	tk yn bj
退下	tk xw
退了	tk le
退伍	tk wj
退休	tk xb
退休金	tk xb jm
退党	tk ds
退兵	tk bl
退出	tk vj
退出江湖	tk vj jg hj
退化	tk hw
退却	tk qf
退去	tk qj
退后	tk ht
退回	tk hk
退场	tk vs
退堂鼓	tk ts gj
退婚	tk hd
退学	tk xf
退居二线	tk jj ah xc
退市	tk un
退席	tk xn
退庭	tk tl
退役	tk yn
退房	tk fs
退换	tk hh'
退无可退	tk wj ke tk
退格	tk ge
退款	tk kh
退步	tk bj
退潮	tk va
退烧	tk ua
退票	tk pr
退租	tk zj
退税	tk uk
退缩	tk su
退群	tk qd
退而求其次	tk ah qb qn cn
退而结网	tk ah jv ws
退耕还林	tk gi hh lm
退职	tk in
退股	tk gj
退订	tk dl
退让	tk rs
退货	tk hu
退赃	tk zs
退赔	tk pp
退路	tk lj
退还	tk hh
退避	tk bn
退避三舍	tk bn so ue
退钱	tk qc
退隐	tk ym
送	sq / sq;z
送上	sq us
送上门	sq us mz
送上门来	sq us mz lx
送了	sq le
送交	sq jr
送人	sq rz
送佛送到西	sq fu sq da xn
送信	sq xm
送入	sq rj
送出	sq vj
送别	sq bv
送到	sq da
送去	sq qj
送命	sq ml
送回	sq hk
送审	sq uz
送客	sq ke
送往	sq ws
送往迎来	sq ws yl lx
送旧迎新	sq jb yl xm
送来	sq lx
送死	sq sn
送水	sq uk
送礼	sq ln
送终	sq iq
送给	sq gp
送股	sq gj
送花	sq hw
送葬	sq zs
送行	sq xl
送货	sq hu
送走	sq zt
送达	sq dy
送还	sq hh
送进	sq jm
送错	sq cu
送饭	sq fo
适	un#29 / un;e'
适不适合	un bj un he
适可而止	un ke ah in
适合	un he
适应	un yl
适应能力	un yl ni ln
适度	un dj
适当	un ds
适得其反	un de qn fo
适才	un cx
适用于	un yq yj
适用范围	un yq fo wp
适者生存	un ie ui cd
适逢其会	un fi qn hk
适配	un pp
适配器	un pp qn
适量	un lg
逃	ta' / ta;o
逃之夭夭	ta in ya ya
逃亡	ta ws
逃兵	ta bl
逃出生天	ta vj ui tc
逃到	ta da
逃匿	ta nn
逃命	ta ml
逃婚	ta hd
逃学	ta xf
逃犯	ta fo
逃生	ta ui
逃票	ta pr
逃离	ta ln
逃税	ta uk
逃窜	ta ch
逃脱	ta tu
逃荒	ta hg
逃课	ta ke
逃走	ta zt
逃跑	ta pa
逃过	ta gu
逃逸	ta yn
逃遁	ta dd
逃避	ta bn
逃难	ta no
逄	ps#10 / ps;q
逅	ht#8 / ht;x
逆	nn#5 / nn;o
逆光	nn gg
逆势	nn un
逆反	nn fo
逆向	nn xg
逆向思维	nn xg sn wp
逆境	nn jl
逆天	nn tc
逆天改命	nn tc gx ml
逆子	nn zn
逆差	nn vy
逆我者亡	nn wu ie ws
逆推	nn tk
逆时针	nn un iz
逆来顺受	nn lx ud ut
逆水行舟	nn uk xl it
逆流	nn lb
逆流而上	nn lb ah us
逆行	nn xl
逆袭	nn xn
逆转	nn ih
逆风	nn fi
选	xh / xh;a
选中	xh iq
选举	xh jj
选人	xh rz
选修	xh xb
选出	xh vj
选单	xh do
选取	xh qj
选址	xh in
选好	xh ha
选定	xh dl
选录	xh lj
选手	xh ut
选拔	xh by
选择	xh ze
选择性	xh ze xl
选材	xh cx
选民	xh mm
选派	xh px
选用	xh yq
选票	xh pr
选编	xh bc
选美	xh mp
选股	xh gj
选贤任能	xh xc rz ni
选购	xh gt
选送	xh sq
选配	xh pp
选重	xh iq'
选错	xh cu
选项	xh xg
选题	xh tn
逊	xd#6 / xd;p
逊色	xd se
逋	bj#13 / bj;r
逍	xr#14 / xr;u
逍遥	xr ya
逍遥法外	xr ya fy wx
逍遥自在	xr ya zn zx
透	tt. / tt;y
透不过气	tt bj gu qn
透亮	tt lg
透光	tt gg
透彻	tt ve
透支	tt in
透明	tt ml
透气	tt qn
透着	tt ie
透视	tt un
透过	tt gu
透露	tt lj
透风	tt fi
逐	ij#13 / ij;m
逐字逐句	ij zn ij jj
逐客令	ij ke ll
逐年	ij nc
逐日	ij rn
逐日追风	ij rn ik fi
逐条	ij tr
逐步	ij bj
逐水而居	ij uk ah jj
逐渐	ij jc
逐行	ij xl
逐项	ij xg
逐鹿	ij lj
逐鹿中原	ij lj iq yh
逑	qb#17 / qb;s
递	dn#12 / dn;s
递交	dn jr
递减	dn jc
递增	dn zi
递延	dn yo
递归	dn gk
递推	dn tk
递给	dn gp
递进	dn jm
递送	dn sq
途	tj#7 / tj;r
途中	tj iq
途径	tj jl
逖	tn#18 / tn;g
逗	dt#5 / dt;a
逗乐	dt le
逗人	dt rz
逗号	dt ha
逗哏	dt gz
逗引	dt ym
逗留	dt lb
逗笑	dt xr
通	tq' / tq;n
通不过	tq bj gu
通俗	tq sj
通俗易懂	tq sj yn dq
通信	tq xm
通假	tq jw
通兑	tq dk
通关	tq gh
通则	tq ze
通力合作	tq ln he zu
通匪	tq fp
通吃	tq vn
通向	tq xg
通告	tq ga
通天	tq tc
通奸	tq jc
通婚	tq hd
通宵	tq xr'
通宵达旦	tq xr dy do
通常	tq vs
通往	tq ws
通情达理	tq ql dy ln
通才	tq cx
通报	tq ba
通敌	tq dn
通晓	tq xr
通气	tq qn'
通牒	tq dv
通用	tq yq
通用性	tq yq xl
通电	tq dc
通病	tq bl
通盘	tq po
通知	tq in
通知书	tq in uj
通知栏	tq in lo
通票	tq pr
通篇	tq pc
通红	tq hq
通缉	tq jn'
通缩	tq su
通胀	tq is
通胀率	tq is lk
通融	tq rq
通行	tq xl,
通行证	tq xl ii
通讯	tq xd
通讯录	tq xd lj
通讯社	tq xd ue
通论	tq ld
通话	tq hw
通读	tq dj
通货膨胀	tq hu pi is
通车	tq ve
通达	tq dy
通过	tq gu
通透	tq tt
通途	tq tj
通通气	tq tq qn
通道	tq da
通配	tq pp
通配符	tq pp fj
通铺	tq pj
通顺	tq ud
通风	tq fi
通风报信	tq fi ba xm
通风管	tq fi gh
逛	gg, / gg;p
逛一下	gg yn xw
逛街	gg jv
逛逛	gg gg
逝	un#37 / un;m'
逝者如斯	un ie rj sn
逞	vi#14 / vi;e
逞能	vi ni
速	sj' / sj;m
速决	sj jf
速冻	sj dq
速回	sj hk
速度	sj dj
速归	sj gk
速录	sj lj
速战速决	sj io sj jf
速拧	sj nl
速效	sj xr
速查	sj vy
速溶	sj rq
速率	sj lk
速算	sj sh
速记	sj jn
速递	sj dn
速速	sj sj
造	za' / za;c
造价	za jw
造册	za ce
造出	za vj
造化	za hw
造化弄人	za hw nq rz
造反	za fo
造句	za jj
造型	za xl
造孽	za nv
造就	za jb
造成	za vi
造物	za wj
造福	za fj
造福一方	za fj yn fs
造纸	za in'
造船	za vh
造血	za xv'
造访	za fs
造词	za cn
造谣	za ya
造谣中伤	za ya iq us
造谣惑众	za ya hu iq
造谣生事	za ya ui un
逡	qd, / qd;i
逡巡	qd xd
逢	fi#11 / fi;o
逢凶化吉	fi xq hw jn
逢场作戏	fi vs zu xn
逢年过节	fi nc gu jv
逦	ln#59 / ln;c,
逭	hh#22 / hh;o'
逮	dx#9 / dx;v
逮住	dx ij
逮捕	dx bj
逯	lj#36 / lj;r'
逴	vu#8 / vu;v
逵	kk#11 / kk;c
逶	wp#48 / wp;m,
逸	yn#35 / yn;s'
逻	lu#7 / lu;e
逻辑	lu jn
逻辑性	lu jn xl
逼	bn. / bn;z
逼上梁山	bn us lg uo
逼不得已	bn bj de yn
逼债	bn ix
逼婚	bn hd
逼真	bn iz
逼良为娼	bn lg wp vs
逼走	bn zt
逼近	bn jm
逼迫	bn pu
逼问	bn wz
逾	yj#27 / yj;u
遁	dd#8 / dd;q
遁入空门	dd rj kq mz
遁形	dd xl
遂	sk. / sk;w
遄	vh#11 / vh;u
遆	tn#33
遇	yj#12 / yj;g'
遇上	yj us
遇人不淑	yj rz bj uj
遇到	yj da
遇害	yj hx
遇见	yj jc
遇难	yj no
遇难成祥	yj no vi xg
遍	bc. / bc;x
遍体鳞伤	bc tn lm us
遍历	bc ln'
遍地	bc dn
遍地开花	bc dn kx hw
遍布	bc bj
遍野	bc ye
遏	ee#9 / ee;v
遏制	ee in
遐	xw#14 / xw;r
遐想	xw xg'
遑	hg#21 / hg;p'
遑论	hg ld
遒	qb#15 / qb;v
道	da' / da;z
道不同不相为谋	da bj tq bj xg wp mt
道不拾遗	da bj un yn
道不明	da bj ml
道义	da yn
道具	da jj
道别	da bv
道听途说	da tl tj uu
道喜	da xn
道学	da xf
道德	da de
道德沦丧	da de ld ss
道教	da jr
道是无晴却有晴	da un wj ql qf yt ql
道歉	da qc
道法自然	da fy zn ro
道理	da ln
道白	da bx
道行	da xl
道谢	da xv
道貌岸然	da ma ar ro
道贺	da he
道路	da lj
道高一尺	da ga yn vn
遗	yn#25 / yn;b
遗世独立	yn un dj ln
遗产	yn vo
遗传	yn vh
遗嘱	yn ij
遗孀	yn ug
遗忘	yn ws'
遗恨	yn hz
遗憾	yn ho
遗漏	yn lt
遗留	yn lb
遗臭万年	yn vt wo nc
遗落	yn lu
遗言	yn yo
遗骸	yn hx
遘	gt#19 / gt;m
遛	lb#12 / lb;w
遛弯儿	lb wo ah
遢	ty#15 / ty;a
遣	qc#10 / qc;x
遣散	qc so
遣词造句	qc cn za jj
遣返	qc fo
遣送	qc sq
遥	ya#8 / ya;f
遥不可及	ya bj ke jn
遥控	ya kq
遥望	ya ws
遥相呼应	ya xg hj yl
遥远	ya yh
遥遥无期	ya ya wj qn
遥遥相对	ya ya xg dk
遥遥领先	ya ya ll xc
遨	au#15 / au;o
遨游	au yt
遭	za, / za;o
遭到	za da
遭劫	za jv
遭受	za ut
遭殃	za ys
遭罪	za zk
遭逢	za fi
遭遇	za yj
遭际	za jn
遭难	za no
遮	ie#6 / ie;w
遮丑	ie vt
遮人耳目	ie rz ah mj
遮住	ie ij
遮光	ie gg
遮天盖地	ie tc gx dn
遮天蔽日	ie tc bn rn
遮拦	ie lo
遮挡	ie ds
遮掩	ie yo'
遮盖	ie gx
遮羞	ie xb
遮蔽	ie bn
遮遮掩掩	ie ie yo yo
遮风挡雨	ie fi ds yj
遮风避雨	ie fi bn yj
遴	lm#18 / lm;c
遴选	lm xh
遵	zd' / zd;e
遵义	zd yn
遵从	zd cq
遵令	zd ll
遵命	zd ml
遵守	zd ut
遵循	zd xd
遵旨	zd in
遵照	zd ia
遵纪	zd jn
遵纪守法	zd jn ut fy
遹	yj#83 / yj;k.
遽	jj#26 / jj;b'
避	bn#7 / bn;x
避光	bn gg
避免	bn mc
避其锐气	bn qn rk qn
避嫌	bn xc'
避孕	bn yd
避孕套	bn yd ta
避孕药	bn yd ya
避实就虚	bn un jb xj
避开	bn kx
避暑	bn uj
避祸	bn hu
避税	bn uk
避而不见	bn ah bj jc
避而不谈	bn ah bj to
避让	bn rs
避讳	bn hk
避重就轻	bn iq jb ql
避险	bn xc
避难	bn no
避雷针	bn lp iz
避风	bn fi
邀	ya#7 / ya;w
邀功请赏	ya gq ql us
邀请	ya ql
邀请函	ya ql ho
邂	xv#27 / xv;y'
邂逅	xv ht
邃	sk#12 / sk;g
邈	mr#12 / mr;l
邋	ly#9 / ly;s
邋遢	ly ty
邑	yn#42 / yn;e,
邓	di. / di;g
邓丽君	di ln jd
邕	yq#17 / yq;t
邗	ho#29 / ho;f'
邘	yj#89 / yj;y.
邙	ms#8 / ms;o
