;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
s	去
xjih	包干
xjij	报告
xjik	宝贵
xjim	本草纲目
xjin	曝光
xjio	包公
xjip	保管
xjir	包裹
whak	豌
xjjd	爆仓
xjje	包菜
xjjf	保存
xjjh	饱餐
whal	万
whwv	玩
whei	湾
xjjr	报错
whle	丸
whbk	婉
xjkz	煲粥
xjkv	抱着
xjka	爆炸
xjkc	报纸
xjkd	保障
xjkf	保准
xjkg	抱住
xjkh	报站
xjki	保证
xjkn	包装
xjko	保重
xjku	抱枕
whuk	挽
xjlw	包赔
xjlb	包票
xjlc	报批
xjlh	报盘
xjli	爆棚
whxv	皖
xjlr	爆破
xjm	报幕
xjmw	胞妹
xjma	宝马
xjmc	保密
xjmg	保姆
xjmh	饱满
whjv	莞
xjmr	薄膜
xjmt	报名
xjmx	百辞莫辩
xjn	不错了
xjns	保留
xjnw	堡垒
xjnv	报了
xjnb	爆料
xjnc	暴力
xjng	暴露
xjnh	包揽
xjni	爆冷
xjnl	爆裂
xjnp	暴乱
xjnr	包罗
xjnt	不辞劳苦
xjoc	暴死
xjod	报丧
xjoo	报送
whdv	烷
whow	纨
whyk	畹
xjpo	包容
xjpu	保人
whqk	惋
xjq	保鲜
xjqs	保修
xjqb	报销
xjqc	报喜
xjqm	保险
xjqn	包厢
xjqn	不辞辛劳
xjqo	胞兄
xjqq	包下
xjqt	暴行
xjqx	报信
xjqy	暴雪
whck	蜿
wr	握
wrl	我
xjtv	剥壳
xjtc	病从口入，祸从口出
xjtg	宝库
xjth	报刊
xjtj	报考
xjto	暴恐
xjtp	病从口入
xjtr	包括
wrx	窝
xjuw	报废
xjua	爆发
xjud	包房
xjuf	不测风云
xjug	包袱
xjug	报复
xjui	暴风
wre	沃
wrt	喔
wrc	卧
xjxw	宝贝
xjxb	保镖
xjxb	报表
xjxc	包庇
wrp	倭
wreb	涡
xjxh	包办
xjxj	宝宝
xjxm	褒贬
wrcb	蜗
xjxt	刨冰
xjxu	保本
xjyz	包头
xjya	宝塔
xjyb	暴跳
xjyd	煲汤
xjye	爆胎
xjyg	暴徒
xjyh	报摊
xjyk	包退
xjyp	抱团
xjyt	报亭
xk	保证
xkss	不追求
xksv	不知其二
xksc	保质期
xksd	百转千回
xksg	不知趣
xksk	不知轻重
xksm	不值钱
xksp	不知其所以然
xksq	不知去向
xkst	不知情
xksy	不正确
xkw	不指望
xkwd	不知为何
xkwk	不知为不知
xkzk	敝帚自珍
xkvg	不战而胜
xkvx	不战而屈人之兵
xkby	不撞南墙不回头
xkcc	不支持
xkcd	扮猪吃老虎
xkcn	不支持了
xkd	标准化
xkdz	白纸黑字
xkde	不知好歹
xkdh	不着痕迹
xkdq	屏住呼吸
xkev	不值得
xkeb	不着调
xkej	不知道
xkem	不知道为什么
xken	不知道了
xkf	不至于
xkfw	不值一文
xkff	秉烛夜游
xkfg	不值一哂
xkfj	不止一次
xkfk	白纸一张
xkfn	报之以李
xkfx	不至于吧
xkfy	不值一提
xkgs	不知深浅
xkgc	不只是
xkgo	不知生死
xkhs	避重就轻
xkhn	不知就里
xkhx	保证金
xkhy	不知进退
xkiz	本职工作
xkie	不知高低
xkkz	不知者不罪
xkkv	标志着
xkke	必争之地
xkkh	伯仲之间
xkkk	不治之症
xkku	不正之风
xkmt	不知名
xknc	不知廉耻
xkng	不斩来使
xkod	不知死活
xkof	不知所云
xkoj	不知所措
xkok	不知所终
xkpw	不知肉味
xkpi	宾至如归
xkpu	班主任
xkqc	不知羞耻
xkqt	标志性
xktu	不置可否
xkua	辩证法
xkuh	不知凡几
xkx	不着边际
xkxb	百折不挠
xkxd	百折不回
xkxe	百战不殆
xkxf	半遮半掩
xkxg	百战百胜
xkxh	不知不觉
xkxn	保质保量
xkxt	不折不扣
xkxx	包治百病
xkyd	不知天高地厚
xkyi	不折腾
xkyt	不中听
wrey	渥
xls	憋屈
xlsc	憋气
xlsg	别去
xlww	别为
xlwd	别忘
xlwu	别问
xlzz	别走
xlzc	别字
xlze	别再
xlzg	憋足
xlzm	不平则鸣
xlbs	别扭
xlbj	别闹
xlbo	别弄
xlc	不排除
xlcg	别处
xlci	别称
xlcj	别吵
xldz	别后
xldi	不平衡
xldj	别号
xldn	别慌
wrk	龌
xlez	别逗
xlev	别的
wrg	斡
xleo	别动
wrh	幄
wrj	莴
xlfw	不怕一万
xlfc	不便宜
xlfd	别样
xlff	不怕一万，就怕万一
xlfo	别用
xlfy	白跑一趟
xlg	白皮书
xlgz	别手
xlga	别傻
xlgd	别上
xlge	半瓶水响叮当
xlgg	别墅
xlgr	别说
xlhb	蹩脚
xlhc	别急
xlhq	别家
xlip	别管
xlir	别国
xlkv	憋着
xlkc	别致
xlkp	别传
xlku	别针
xlla	别怕
xlli	别碰
xllj	别跑
xlmd	别忙
xlmg	不怕没柴烧
xlmt	别名
xlmu	憋闷
xlnv	别了
xlnc	别离
xlne	别来
xlnf	别论
xlnh	杯盘狼藉
xlo	不怕死
xloc	憋死
xloh	瘪三
xlpd	别让
xlpu	别人
xlqb	别笑
xlqn	别想
wru	挝
xltv	别克
wruy	握
xltg	别哭
xlth	别看
wrle	我
xlxa	别把
xlxd	不怕不识货
xlxf	不偏不倚
wrty	喔
xlyc	别提
wrxb	窝
xms	便签
xmsg	编曲
xmsk	不谋其政
xmsm	变迁
xmsn	变强
xmsq	边卡
xmsy	扁鹊
wref	沃
xmww	变为
xmwz	白马王子
xmwe	编外
wrcx	卧
xmwg	编舞
xmwk	表面文章
xmwq	兵马未动，粮草先行
xmwu	八面威风
wrpb	倭
xmzc	辫子
xmzc	闭门造车
xmzf	不鸣则已
xmzg	编组
xmzj	编造
wrky	龌
xmzp	编纂
xmzr	变作
xmvv	匾额
xmvd	不谋而合
wrgg	斡
wrhy	幄
xmbw	编内
xmbb	便溺
xmbg	不瞒你说
xmbm	本命年
xmbp	变暖
xmbu	班门弄斧
xmc	编程
xmcv	便车
xmca	变差
xmcc	鞭笞
xmcd	边长
xmci	变成
wrjb	莴
xmck	边陲
wruz	挝
wg	无
xmdg	辩护
xmdj	编号
xmdk	便会
xmdp	变换
xmdq	变化
xmdt	变坏
wga	五
xmez	扁豆
xmev	变得
xmea	变大
xmeb	变调
xmec	贬低
xmec	遍地
xmed	便当
xmeh	扁担
xmej	编导
xmek	编队
xmek	本末倒置
xmeo	变动
wgt	吴
xmet	编订
wgl	舞
xmf	不满意
xmf	并没有
xmfs	不名一钱
xmfw	不名一文
xmfz	便有
xmfv	遍野
xmfa	变压
xmfc	编译
xmfc	贬义
xmfd	变样
xmfg	便于
xmfh	边沿
xmfo	兵马俑
xmfp	边缘
xmfx	编印
wgak	武
xmgz	变瘦
xmga	变傻
xmgc	辨识
xmgd	边上
xmgg	变数
xmgi	变声
wgaf	无
xmgn	不明事理
xmgt	表面上看
xmgu	变身
xmh	辩解
xmhb	变焦
xmhc	编辑
xmhg	编剧
xmhl	便捷
xmhm	边检
xmhn	边疆
xmht	边境
wgb	物
xmi	闭门羹
xmiv	变革
xmig	变故
xmii	变更
xmio	笔墨官司
xmip	边关
xmiq	变卦
wgwt	吾
xmjv	鞭策
xmjc	辩词
xmje	辩才
xmjh	便餐
wgtt	唔
wgg	屋
xmk	编织
xmkz	北美洲
xmkv	编者
xmkc	编制
xmkc	贬值
xmkd	不买账
xmke	不毛之地
xmkf	笔墨纸砚
xmkg	编著
xmki	辩证
xmkj	变招
xmkk	拔苗助长
xmkk	百忙之中
xmkn	便装
xmko	变种
xmkp	编撰
xmkq	不明真相
xmku	变阵
wgla	乌
xmld	变胖
xmle	编排
xmlh	变盘
xmlj	鞭炮
xmlt	扁平
xmlx	变频
xmma	编码
xmmc	便秘
xmme	变卖
xmmh	变慢
xmmj	边贸
xmmt	辨明
xmmu	边门
xmmx	便民
wgtw	呜
wgx	勿
xmnv	变了
xmnc	便利
xmnc	遍历
xmnf	辩论
wgp	伍
xmni	变冷
xmnj	变老
xmnm	变脸
xmnn	变量
xmnn	八面玲珑
xmnu	八面来风
wgfn	雾
xmov	变色
xmoe	边塞
xmof	贬损
xmog	变速
xmoi	闭门思过
wgf	误
xmoy	闭目塞听
wgq	悟
xmpg	编入
wgi	巫
xmpr	变弱
xmpu	辨认
wgli	午
xmq	保密性
xmqs	编修
xmqb	变小
xmqc	宝马香车
xmql	编写
xmqm	变现
xmqn	变相
xmqq	表面现象
xmqt	变形
xmqx	变心
wgw	务
wgu	捂
wge	污
xmtv	便可
wgae	戊
xmtn	边框
xmtt	变快
wgil	戊
wgfq	恶
xmua	变法
xmud	边防
xmug	蝙蝠
xmuh	便饭
xmui	边锋
wgk	毋
xmx	不明白
xmxc	闭门不出
xmxe	辩白
xmxg	遍布
xmxj	编报
xmxl	辨别
xmxm	便便
xmxr	辩驳
xmxx	不明不白
xmya	鞭挞
xmyb	便条
xmyc	变体
xmye	变态
xmym	变天
xmyo	变通
xn	本来
xnss	保龄球
xnsg	博览群书
xnsm	不留情面
xnsp	壁立千仞
xnsu	波澜起伏
xnwc	逼良为娼
xnwf	别来无恙
xnwf	暴露无遗
xnwg	芭蕾舞
xnwh	步履维艰
xnwq	包罗万象
xnz	伯利兹
xnzc	不良资产
xnzg	布朗族
xnvd	不劳而获
xncd	鬓乱钗横
xncf	碧螺春
xnch	半路出家
xnci	百炼成钢
xncn	暴露出来
xncq	兵临城下
xndh	不留痕迹
xndk	博览会
xnec	白兰地
xned	波罗的海
xnem	便利店
xneq	薄利多销
xnet	不良贷款
xnfw	本来以为
xnfe	不留余地
xnfg	不利于
xnfk	表里一致
xnfu	白龙鱼服
xng	不论是
xngc	比利时
xngo	不露声色
xngx	不虑胜先虑败
xnhe	兵来将挡
xnhf	八路军
xnhg	本来就是
xnhh	濒临绝境
xnhl	不了解
xnhn	不良记录
xnik	巴拉圭
xnje	不理睬
xnjh	不吝赐教
xnkh	不吝指教
xnkt	波澜壮阔
xnku	避雷针
xnky	别来这一套
xnlg	步履蹒跚
xnlx	舶来品
xnmc	菠萝蜜
xnmj	贝雷帽
xnmk	摆龙门阵
xnmm	本来面目
xnmu	爆冷门
xnnv	不聊了
xnnk	不了了之
xnnn	筚路蓝缕
xnov	布鲁塞尔
xnof	壁垒森严
xnoy	巴勒斯坦
xnpe	病来如山倒
xnpf	表里如一
xnqw	玻璃纤维
xnqb	半老徐娘
xnqn	不理想
xnte	不离开
xnth	不落窠臼
xntu	暴力抗法
xnuw	别浪费
xnuf	不良反应
xnuk	拨乱反正
xnum	不露锋芒
xnun	别浪费了
xnxs	不离不弃
xnxs	变来变去
xnxw	玻璃杯
xnxf	表里不一
xnxh	波澜不惊
xnxn	不伦不类
xnxp	不冷不热
xnxq	奔流不息
xnxr	白萝卜
xnyd	白里透红
xnyf	百里挑一
xnyg	柏拉图
xo	比赛
xowf	必死无疑
xowh	波斯湾
xobf	波斯尼亚
xodi	不思悔改
xogg	不算数
xohs	不思进取
xokt	不速之客
xonb	巴塞罗那
xono	变色龙
xops	比死人多口气
xoqx	不死心
xotx	白色恐怖
xox	不死不活
xoxd	半死不活
xoxh	百思不解
xoxo	不三不四
xoxq	不死不休
xp	不然
xpsc	哺乳期
xpze	不忍卒读
xpzm	白日做梦
xpbv	不然呢
xpd	白热化
xpdz	不入虎穴，焉得虎子
xpdc	步人后尘
xpdg	不容忽视
xpdh	薄弱环节
xpdq	不入虎穴
xpev	不认得
xpeb	勃然大怒
xped	不然的话
xpfc	不容易
xpfg	不容有失
xpfh	不如意事常八九
xpg	比如说
xpgc	不认识
xpgf	不如授人以渔
xpgm	不辱使命
xpgr	不如说
xpid	病入膏肓
xpk	不认账
xpkd	不容置喙
xpkf	不容置疑
xpkg	不忍直视
xpki	步入正轨
xpms	被人卖了还帮着数钱
xpmi	白日梦
xpni	不容乐观
xpq	必然性
xpqs	不容小觑
xpqh	兵戎相见
xpqt	包容性
xpu	白日飞升
xpug	不容分说
xpxf	不仁不义
xpxo	勃然变色
xpyw	不如退而结网
xq	必须
xqsc	保修期
xqsf	背信弃义
xqsh	保险起见
xqsk	败絮其中
xqwd	不希望
xqwg	不学无术
xqwh	冰消瓦解
xqwm	不相为谋
xqzo	不肖子孙
xqv	不幸而言中
xqvi	败兴而归
xqvk	不宣而战
xqaa	白雪皑皑
xqbc	不像你
xqbf	本性难移
xqbg	屏息凝神
xqbn	不懈努力
xqcv	别瞎扯
xqcg	笔下超生
xqcu	不相称
xqdh	不稀罕
xqdp	不喜欢
xqdq	不像话
xqev	不晓得
xqed	彪形大汉
xqeg	不想多说
xqej	博学多才
xqeq	碧血丹心
xqff	比下有余
xqfg	不屑于
xqfh	不惜一切代价
xqfi	不屑一顾
xqfj	不需要
xqfk	不幸言中
xqg	半小时
xqgc	八小时
xqgd	笔下生花
xqgq	不相上下
xqhd	抱薪救火
xqhg	悲喜剧
xqhh	悲喜交集
xqhl	步行街
xqib	八仙过海，各显其能
xqid	八仙过海
xqie	兵行诡道
xqik	白雪公主
xqip	不习惯
xqix	不惜工本
xqiy	八仙过海，各显神通
xqjm	冰雪聪明
xqjq	不虚此行
xqkf	宝相庄严
xqkk	不祥之兆
xqlx	必需品
xqma	不行吗
xqns	必先利其器
xqnw	本小利微
xqnv	不行了
xqne	本小利大
xqnf	巴西利亚
xqnf	标新立异
xqos	不徇私情
xqpg	不省人事
xqq	不小心
xqql	不信邪
xqqx	不相信
xqua	变戏法
xqug	不相符
xqx	便携版
xqxa	不行吧
xqxe	不许百姓点灯
xqxf	半信半疑
xqxh	不徐不疾
xqxn	本相毕露
xqxt	白血病
xqxu	不修边幅
xqxy	本乡本土
wgj	芜
xrsc	勃起
xrsg	博取
xrst	薄情
wgyw	坞
wgwv	邬
xrww	泊位
wgh	钨
xrwu	波纹
wgr	晤
xrzc	脖子
wgm	梧
xrzg	跛足
wgav	兀
wgpm	侮
xrvb	波恩
wgom	骛
wgbw	妩
wgo	婺
xrac	博爱
wgob	鹜
xrar	博鳌
wgqw	忤
xrbo	拨弄
xrcv	泊车
xrcc	驳斥
xrcd	波长
xrcg	播出
wgd	焐
xrdw	波黑
wgc	蜈
xrdv	薄荷
xrde	渤海
xrdj	拨号
xrdk	驳回
wgpw	仵
xrez	搏斗
xrev	博得
xrea	拨打
xreb	剥掉
wgab	鹉
xrej	波导
wgaa	五
xreo	波动
xrep	波段
xrer	剥夺
wgty	吴
xrf	波音
xrfc	博弈
xrft	播映
xrfx	播音
wgln	舞
wggy	屋
xrga	搏杀
wgxl	勿
xrgc	博士
wgwn	务
wgut	捂
wgka	毋
wghw	钨
wgrt	晤
wgdt	焐
wgcy	蜈
xrhs	薄酒
xrhb	跛脚
xrhc	搏击
xrhc	波及
wgf	诬
ww	为
wwtb	喂
wwa	未
xrhy	伯爵
xrii	脖颈
xrin	剥光
wwpn	位
xrje	博彩
xrje	菠菜
wwt	味
wwo	维
www	威
wwq	威
xrkv	波折
wwc	微
wwk	卫
xrko	播种
wwva	卫
xrlc	剥皮
wwdi	魏
wwg	尾
wwtu	唯
xrmg	伯母
wwp	伟
xrmm	薄面
wwpw	伪
xrmt	搏命
wwan	韦
wwy	胃
xrnv	伯乐
xrnc	剥离
xrnc	玻璃
xrnd	波浪
wwtw	围
xrnh	波兰
xrnh	波澜
xrnr	菠萝
xrnx	柏林
xroa	播撒
xroc	波斯
xroo	播送
wwj	薇
xrpv	般若
xrpr	薄弱
wwd	委
xrq	博学
xrqq	剥下
xrqt	波形
xrqy	剥削
wwqu	惟
wwe	危
wwf	谓
wwww	玮
wwjj	蔚
xrtv	博客
xrte	拨开
wwgq	慰
xrtp	拨款
wwgk	硊
wwz	违
xrua	播发
xrud	播放
wwzp	遗
xrug	拨付
wwdw	炜
wwgj	尉
wwow	纬
wwv	巍
xrxj	播报
xrxr	伯伯
xrxt	薄冰
xryj	波涛
xryo	拨通
wwyf	圩
wwjw	苇
xts	不客气
xtss	冰球
xtsc	兵器
xtsg	百科全书
xtsh	不可企及
xtsp	兵权
xtsq	不可全信
xtst	病情
wwjb	萎
wwdb	煨
xtww	并未
xtwf	不可外扬
xtwg	并无
wwer	渭
xtzc	饼子
xtze	并在
xtzh	不堪造就
xtzj	不可造次
xtvk	不可遏制
wwvb	崴
wwx	痿
xtbe	不可能的
xtbi	不可能
xtbx	不可能吧
wws	猥
xtcc	秉持
xtcg	摒除
xtci	秉承
xtcn	病床
xtcp	冰川
wwh	帷
wwpb	偎
xtds	不可或缺
xtdv	冰河
xtde	病害
xtdg	不堪回首
xtdh	冰寒
xtdj	病号
xtdp	病患
wweu	潍
wwmk	桅
xteb	冰雕
xtee	不可多得
xteg	病毒
xtei	冰灯
xtej	冰岛
xtem	冰点
xteo	冰冻
xtet	兵丁
xtf	不可以
xtfz	并有
xtfc	不可言传
xtfe	不可以的
xtff	不可言喻
xtfg	并于
xtfg	不可一世
xtfh	不堪一击
xtfk	不可言状
xtfm	不可以吗
xtfo	并用
xtft	兵营
xtfx	病因
wwb	娓
xtgc	病逝
xtgd	冰上
xtgg	兵书
xtgg	不可收拾
xtgh	冰山
xtgk	冰水
xtgm	别开生面
xtgn	冰霜
xtgq	不堪设想
wwsr	猬
xths	并就
xthb	冰窖
xthc	并击
xthe	不可兼得
xthf	病菌
xthf	不可救药
xthg	病句
xthm	并肩
xthn	并将
xthq	病假
xtht	冰晶
xthx	并进
xtiz	并购
xtif	冰棍
xtig	病故
xtih	饼干
xtij	禀告
xtik	冰柜
xtin	不可估量
xtio	秉公
xtip	不可告人
xtiu	病根
xtjf	并存
xtkg	冰柱
xtki	病症
xtkm	不可捉摸
xtkn	不可知论
xtko	兵种
xtku	不堪重负
wwvi	隗
wwvi	嵬
xtle	并排
xtlg	不靠谱
xtlu	不可偏废
wwr	韪
wwew	涠
xtmw	并没
xtma	兵马
xtmk	不可名状
xtmm	不可磨灭
xtmr	病魔
xtmt	禀明
xtmx	百口莫辩
xtnv	病了
xtnc	病例
xtnd	槟榔
xtnf	不可理喻
xtni	冰冷
xtnk	不考虑
xtnl	并列
xtnm	并联
xtnn	冰凉
xtnt	冰凌
xtoc	病死
xtof	不可思议
xtom	不看僧面看佛面
xtpv	不堪入耳
xtpf	宾客如云
xtpg	并入
xtpm	不堪入目
xtpo	病容
xtpu	病人
xtqs	病休
xtqs	不可小觑
xtqw	不可信其无
xtqc	屏息
xtqe	不可懈怠
xtql	冰鞋
xtqn	冰箱
xtqq	不可想象
xtqt	并行
xtqx	不开心
xtqy	冰雪
wwzb	逶
wwfb	诿
xttz	并口
xttv	并可
xtth	不可开交
xttn	不可抗力
xttt	冰块
wwou	维
xtuw	并非
xtuw	不可方物
xtua	兵法
xtud	病房
xtug	兵符
xtui	冰封
xtui	不可分割
xtup	不可否认
wwwb	威
wwae	威
wwcw	微
xtxd	冰棒
xtxe	兵败
xtxf	百看不厌
xtxf	闭口不言
xtxg	并不
xtxj	冰雹
xtxk	不可不知
xtxm	病变
wwka	卫
wwgm	尾
xtya	病榻
xtyd	冰糖
xtye	病态
xtye	不可替代
xtyf	不可同日而语
xtyk	病退
xtyo	病痛
xtyp	兵团
wwfr	谓
wwzw	违
xus	不服气
xusc	本期
xusm	本钱
xusp	不乏其人
xusx	不分青红皂白
xuww	本位
xuwg	本无
xuwq	变法维新
xuwu	本文
xuzz	奔走
xuzv	不负责
xuzc	本子
xuzf	本尊
xuzn	不放在眼里
xuzp	不负责任
wwxb	痿
wwsb	猥
xuab	本案
wwhu	帷
xubb	笨鸟
xubi	本能
xubm	本年
xucc	奔驰
xucd	本场
xucg	奔出
xucn	不费吹灰之力
xudd	本行
xudg	暴发户
xudj	百分号
wwy	畏
xueb	不复当年
xuec	本地
xued	本当
xueh	笨蛋
wwj	葳
xuem	百分点
xueq	百废待兴
xufz	不费一兵一卒
xufv	本页
xufc	本意
xufg	暴风雨
xufp	本源
xuft	本应
xufy	本月
xugc	本事
xugd	不负韶华
xugi	本省
wgjw	芴
xugr	比方说
xugu	本身
wgue	於
xuhs	本就
xuhc	本季
wwek	洈
xuhl	本届
xuhq	本家
xuhq	百废俱兴
xuhx	本金
xuie	本该
xuir	本国
watb	呙
xujz	不复存在
xujc	本次
xujg	不负此生
xujj	白发苍苍
war	腽
warm	腽
xuk	百分之
xukw	不负众望
xukz	本周
xukv	本着
xukc	本质
xukf	捕风捉影
xukf	百分之一
xukg	笨猪
xukh	本站
xuko	笨重
xukr	笨拙
xukx	百分之百
xuky	不法之徒
xulb	本票
xulj	奔跑
way	畖
xumt	本名
xumu	本门
xuns	白费力气
xunw	本类
xunf	本轮
xunn	兵分两路
xunt	本领
wayi	畖
xuov	本色
xuod	奔丧
xuoy	不负所托
xupc	本日
wabt	婠
xupu	本人
xuqw	不法行为
xuqb	本校
xuqc	本息
xuqh	白费心机
xuqk	不分轩轾
xuqn	本想
xuqt	本性
xuqx	不放心
xutv	本科
xutg	白费口舌
xuth	本刊
xuud	奔放
xuug	奔赴
xuuu	本分
wetb	呙
xuxb	本表
xuxc	百分比
xuxe	百分百
xuxg	本部
xuxj	本报
xuxk	百发百中
xuxm	不方便
xuxr	奔波
xuxu	笨笨
wul	璺
xuyb	本条
xuyc	本体
wulf	璺
xuyf	悲愤填膺
xuyg	本土
xuyi	奔腾
xuyj	奔逃
xuym	本田
wudw	炆
xxss	北半球
xxsc	摈弃
wumm	榅
xxww	濒危
xxwb	被逼无奈
xxwc	卑鄙无耻
wuom	缊
xxwf	步步为营
xxwh	北部湾
wuww	玟
xxwq	白璧微瑕
xxzc	半辈子
xxzd	殡葬
xxzf	不必在意
xxzp	不把自己当外人
wumw	𫘜
wumf	阌
wucm	辒
wua	鳁
xxbi	并不能
xxcf	百步穿杨
xxci	办不成
xxdv	滨河
xxde	滨海
xxdk	并不会
wuam	鳁
xxev	巴不得
xxeb	百般刁难
xxee	斑斑点点
xxef	逼不得已
xxej	办不到
xxek	不必当真
xxeo	巴巴多斯
wiju	蕹
wixb	鹟
xxey	包办代替
xxfd	北冰洋
xxfe	并不一定
xxff	巴布亚新几内亚
xxfg	宾语
xxfj	不必要
xxfk	兵不厌诈
xxfn	彬彬有礼
xxgz	摆摆手
xxgc	并不是
xxgd	比不上
xxgg	并不是说
xxgm	帮不上忙
wdi	魍
xxhb	鬓角
xxhg	比比皆是
xxhn	滨江
xxhn	变本加厉
xxhq	步步惊心
wdiw	魍
wdgw	尪
xxip	宾馆
whjk	菀
xxkw	不辨真伪
xxkz	八宝粥
xxke	并不知道
xxkf	不白之冤
xxkg	宾主
xxkg	秉笔直书
xxkh	八拜之交
xxli	宾朋
xxll	白白胖胖
whjw	芄
xxmd	帮帮忙
xxme	把把脉
xxmj	鬓毛
whrv	脘
xxmm	爸爸妈妈
whyi	塆
xxn	八百里
xxnc	宾利
xxnd	步步莲花
xxnf	巴比伦
xxnm	殡殓
xxnn	斑驳陆离
xxnq	便把令来行
xxnx	濒临
whka	毌
whbv	妧
whek	涴
xxpe	兵败如山倒
whbt	婠
xxqf	并不需要
xxqn	并不想
xxqp	兵不血刃
whmk	椀
wrr	肟
xxts	必不可缺
xxtv	宾客
xxtg	必不可少
xxtr	不包括
wrrt	肟
xxuu	缤纷
xxuu	本本分分
wrz	踒
wrzb	踒
wrtb	呙
xxxc	并不比
xxxe	不比不知道
xxxt	不卑不亢
wrgw	硪
xxyd	棒棒糖
xxyy	蹦蹦跳跳
xy	不同
xys	不听劝
xysc	不太清楚
xysn	不通情理
xysp	趵突泉
xywh	别太晚
xywi	白头翁
xywn	别太晚了
xyzc	不太赞成
xyvv	白天鹅
xyvu	半途而废
xyas	不太安全
xycd	不提倡
xyce	不同程度
xycg	不同程度上
xydf	白天黑夜
xydj	不太好
xydn	冰糖葫芦
xydt	不太好看
xydx	不太好吧
xyeg	不停的说
xyeh	八抬大轿
xyen	白头到老
xyeo	不太懂
xyep	不同的人
xyet	抱头大哭
xyfc	不同意
xyff	不太一样
xyfg	不同于
xyfh	悲痛欲绝
xyfx	不提也罢
xygd	不听使唤
xygd	不太适合
xyge	半桶水，响叮当
xygj	抱头鼠窜
xygk	半桶水
xygq	不太熟悉
xygu	不太舒服
xyhm	不推荐
xyih	不太敢
xyiq	不太高兴
xyiu	别太过分
xykc	不同之处
xykh	不同政见
xymf	不太满意
xymp	悲天悯人
xymq	不太明显
xymt	半透明
xymx	不太明白
xyn	别提了
xyns	不听老人言，吃亏在眼前
xynv	拜托了
xync	抱头乱串
xynf	不听老人言
xyng	遍体鳞伤
xynh	不太了解
xynm	并蹄莲
xynq	不太理想
xyps	不通人情
xypg	不太认识
xypn	暴跳如雷
xypy	不太认同
xyq	不太像
xyqc	不同寻常
xyqd	不太喜欢
xyqe	冰天雪地
xyqf	波涛汹涌
xyqi	不太习惯
xyqn	白头偕老
xytb	不太可能
xytd	不太看好
xytt	不痛快
xyua	白头发
xyuo	不同凡俗
xyuq	不同凡响
xyux	不太方便
xyxb	笨头笨脑
xyxf	不痛不痒
xyxh	半推半就
xyxt	不吐不快
xyyw	暴殄天物
xyyc	扁桃体
xyyt	抱头痛哭
wrpy	偓
wrek	涴
ys	天气
yszp	听其自然
yscg	听清楚
ysej	跆拳道
ysen	通情达理
ysfh	听其言
ysfm	吐气扬眉
ysfq	听其言而观其行
ysga	谈情说爱
yshq	探亲假
ysie	挺奇怪的
ysmd	台前幕后
ysne	听起来
ysnk	同气连枝
ysnn	提前量
ysod	投其所好
ysqx	同情心
ystf	投亲靠友
ysuf	探亲访友
ysxq	图穷匕见
ysyx	铜墙铁壁
yw	台湾
ywwu	体无完肤
ywvp	天无二日
ywbj	天威难测
ywdd	天网恢恢
ywdq	题外话
ywej	台湾岛
ywen	天文地理
ywfy	天外有天
ywgz	天文数字
ywgd	贪污受贿
ywgi	台湾省
ywhc	体温计
ywhn	天无绝人之路
ywik	叹为观止
ywlx	调味品
ywnz	天王老子
ywnv	太晚了
ywng	图瓦卢
ywnl	天王老子都不怕
ywnt	天外来客
ywog	同位素
ywqh	天文学家
ywqy	天文学
ywty	退无可退
ywud	贪污腐化
ywuq	天外飞仙
ywxm	图文并茂
ywye	天文台
wrd	馧
yz	投资
yzsc	透气
yzsg	偷取
yzsj	天纵其才
yzsl	偷窃
yzst	偷情
yzww	头尾
yzwu	贪赃枉法
wrdm	馧
yzzz	偷走
wgiw	庑
yzzc	投资
yzzk	偷嘴
yzab	投案
yzbg	天作孽犹可恕
yzbj	头脑
yzcv	透彻
yzcc	偷吃
yzch	投产
yzci	投诚
yzdv	投河
yzdd	投行
yzdf	头昏
yzdj	头号
yzdn	投资回报率
yzdp	偷欢
yzea	头大
yzec	投递
yzed	天字第一号
yzee	头戴
yzeg	偷渡
yzeg	天造地设
yzeh	投弹
yzei	头等
yzej	偷盗
yzet	头顶
yzf	替罪羊
yzfz	头油
yzfd	投资银行
yzff	头晕
yzfj	投药
yzfp	投缘
yzft	投影
yzgz	投手
yzgv	投射
yzgc	透视
yzgd	头上
yzgi	偷生
yzgk	偷税
yzgu	投身
yzhc	投机
yzhq	天子脚下
yzht	头颈
yzhx	头巾
wgbt	牾
wgy	圬
yzig	头骨
yzij	投稿
yzin	透光
yzio	天姿国色
yzir	透过
yzje	头彩
yzjf	头寸
yzk	投资者
yzkv	透着
yzkc	透支
yzkd	天作之合
yzkj	天纵之才
yzlb	投票
yzlc	头皮
yzle	偷拍
yzmg	头目
yzmm	头面
yzmt	透明
yzng	透露
yznh	偷懒
yznl	偷猎
yznm	头脸
yznn	透亮
yznt	头领
yzog	投诉
yzoo	投送
wgz	迕
yzpd	天灾人祸
wgv	屼
yzpg	投入
yzq	投降
yzqb	偷笑
