rank	char	sound_code	aux_code	input_code	delimited_input	weight
369	往	ws	k	wsk	ws;k	21432
370	元	yh	o	yho	yh;o	89796
371	英	yl	x	ylx	yl;x	3067
372	士	un	l	unl	un;l	1274
373	证	ii	l	iil	ii;l	4117
374	近	jm	q	jmq	jm;q	18395
375	失	un	z	unz	un;z	765
376	转	ih	j	ihj	ih;j	15290
377	夫	fj	z	fjz	fj;z	1472
378	令	ll	x	llx	ll;x	8449
379	准	id	x	idx	id;x	4139
380	布	bj	f	bjf	bj;f	2175
381	始	un	c	unc	un;c	910
382	怎	zz	x	zzx	zz;x	715
383	呢	ne	f	nef	ne;f	262461
384	存	cd	x	cdx	cd;x	3919
385	未	wp	g	wpg	wp;g	11153
386	远	yh	k	yhk	yh;k	6258
387	叫	jr	y	jry	jr;y	59607
388	台	tx	m	txm	tx;m	7146
389	单	do	l	dol	do;l	11707
390	影	yl	j	ylj	yl;j	1071
391	具	jj	z	jjz	jj;z	1328
392	罗	lu	c	luc	lu;c	12714
393	字	zn	j	znj	zn;j	29616
394	爱	an	q	anq	an;q	27194
395	击	jn	z	jnz	jn;z	878
396	流	lb	x	lbx	lb;x	5928
397	备	bp	r	bpr	bp;r	1006
398	兵	bl	e	ble	bl;e	5140
399	连	lc	k	lck	lc;k	56359
400	调	dr	p	drp	dr;p	3560
400	调	tr	p	trp	tr;p	3560
401	深	uz	e	uze	uz;e	5042
402	商	us	x	usx	us;x	3053
403	算	sh	x	shx	sh;x	22186
404	质	in	k	ink	in;k	1446
405	团	th	e	the	th;e	6135
406	集	jn	c	jnc	jn;c	12096
407	百	bx	m	bxm	bx;m	1329
408	需	xj	m	xjm	xj;m	6999
409	价	jw	q	jwq	jw;q	3402
410	花	hw	j	hwj	hw;j	22897
411	党	ds	e	dse	ds;e	5095
412	华	hw	x	hwx	hw;x	1363
413	城	vi	z	viz	vi;z	5002
414	石	un	g	ung	un;g	3278
415	级	jn	m	jnm	jn;m	32063
416	整	ii	z	iiz	ii;z	3601
417	府	fj	l	fjl	fj;l	1107
418	离	ln	e	lne	ln;e	15773
