# Simplified Chinese character-reading weights extracted from Baishuang 8105.
# Columns: character<TAB>sit_initial_key<TAB>source_weight<TAB>pinyin
放	f	22767	fang
敷	f	587	fu
斐	f	115	fei
斧	f	538	fu
方	f	10747	fang
昉	f	74	fang
服	f	3361	fu
朏	f	9	fei
枋	f	38	fang
枫	f	270	feng
桴	f	31	fu
梵	f	258	fan
棐	f	3	fei
棻	f	4	fen
棼	f	7	fen
榑	f	7	fu
榧	f	30	fei
樊	f	238	fan
氛	f	25	fen
氟	f	825	fu
氾	f	44	fan
汾	f	134	fen
沣	f	31	feng
沨	f	22	feng
沸	f	68	fei
法	f	20611	fa
泛	f	2595	fan
洑	f	7	fu
浮	f	375	fu
浲	f	2	feng
涪	f	42	fu
淝	f	21	fei
滏	f	5	fu
瀵	f	6	fen
烦	f	1482	fan
烽	f	21	feng
焚	f	189	fen
燔	f	56	fan
父	f	868	fu
牥	f	0	fang
犯	f	2896	fan
狒	f	6	fei
玞	f	20	fu
玢	f	4	fen
珐	f	26	fa
琈	f	1	fu
璠	f	11	fan
甫	f	319	fu
畈	f	7	fan
番	f	1698	fan
疯	f	1524	feng
痱	f	6	fei
矾	f	119	fan
砆	f	0	fu
砜	f	6	feng
砝	f	3	fa
祓	f	52	fu
福	f	1378	fu
稃	f	10	fu
符	f	675	fu
筏	f	26	fa
篚	f	0	fei
簠	f	20	fu
粉	f	10680	fen
粪	f	546	fen
繁	f	303	fan
纷	f	40	fen
纺	f	51	fang
绂	f	16	fu
绋	f	2	fu
绯	f	182	fei
缚	f	233	fu
缝	f	944	feng
缶	f	94	fou
罘	f	8	fu
罚	f	1541	fa
翂	f	2	fen
翡	f	6	fei
翻	f	6972	fan
肤	f	69	fu
肥	f	1018	fei
肪	f	15	fang
肺	f	2331	fei
脯	f	48	fu
腐	f	218	fu
腑	f	103	fu
腓	f	24	fei
腹	f	542	fu
舫	f	14	fang
艴	f	2	fu
芙	f	594	fu
芣	f	43	fu
芬	f	667	fen
芳	f	320	fang
芾	f	4	fei
苻	f	28	fu
茀	f	11	fu
范	f	1752	fan
茯	f	8	fu
莩	f	12	fu
菔	f	5	fu
菲	f	588	fei
葑	f	38	feng
蕃	f	178	fan
藩	f	503	fan
蘩	f	12	fan
蚄	f	1	fang
蚨	f	1	fu
蜂	f	218	feng
蜉	f	0	fu
蜚	f	16	fei
蝠	f	56	fu
蝮	f	11	fu
袱	f	7	fu
覆	f	290	fu
讣	f	1	fu
讽	f	59	feng
访	f	181	fang
诽	f	9	fei
豮	f	0	fen
负	f	4145	fu
贩	f	134	fan
费	f	7341	fei
赋	f	822	fu
赗	f	2	feng
赙	f	4	fu
赴	f	1308	fu
趺	f	12	fu
跗	f	13	fu
蹯	f	8	fan
辅	f	375	fu
辐	f	83	fu
返	f	949	fan
逢	f	856	feng
邡	f	0	fang
郛	f	24	fu
鄜	f	40	fu
酆	f	19	feng
酚	f	74	fen
釜	f	598	fu
钒	f	131	fan
钫	f	77	fang
锋	f	495	feng
镄	f	9	fei
阀	f	193	fa
阜	f	50	fu
防	f	4425	fang
附	f	4846	fu
霏	f	54	fei
非	f	38568	fei
韨	f	1	fu
风	f	8721	feng
飞	f	5448	fei
饭	f	7238	fan
馥	f	24	fu
驸	f	10	fu
鲂	f	33	fang
鲋	f	5	fu
鲱	f	5	fei
鲼	f	9	fen
麸	f	23	fu
黻	f	29	fu
黼	f	41	fu
鼢	f	0	fen
𣸣	f	0	fen
𫓧	f	0	fu
𫔍	f	0	fan
𫖯	f	0	fu
𬴂	f	0	fei
𬸪	f	0	fan
㭎	g	0	gang
㽏	g	0	gan
䢼	g	0	gong
丐	g	35	gai
个	g	215733	ge
乖	g	655	guai
亘	g	25	gen
仡	g	3	ge
估	g	226	gu
伽	g	326	ga
佝	g	0	gou
供	g	4887	gong
倌	g	53	guan
光	g	17724	guang
公	g	2184	gong
共	g	11994	gong
关	g	4885	guan
冈	g	178	gang
冠	g	1209	guan
冮	g	4	gang
刚	g	24253	gang
刮	g	2091	gua
刽	g	11	gui
刿	g	95	gui
剐	g	105	gua
割	g	2805	ge
功	g	1686	gong
勾	g	1513	gou
