;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=32
Pinyin=@
PinyinLength=32
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a	安
vbzj	成败在此一举
vcdj	春蚕到死丝方尽
vciw	除此之外
vcjh	趁此机会
vcjy	重操旧业
vcld	陈词滥调
vcnt	刚出狼窝，又入虎口
vcxc	出此下策
vcya	吃错药
vcyl	吃错药了
vcyw	长此以往
vd	春
vd	纯
vd	唇
vd	蠢
vd	醇
vd	淳
vd	椿
vd	鹑
vd	莼
vd	蝽
vd	䲠
vd	堾
vd	瑃
vd	朐
vd	肫
vd	純
vd	蓴
vd	錞
vd	陙
vd	鯙
vd	賰
vd	輴
vd	脣
vd	醕
vd	㖺
vd	㝄
vd	㝇
vd	㵮
vd	㸪
vd	㿤
vd	䄝
vd	䏛
vd	䏝
vd	䏰
vd	䐇
vd	䐏
vd	䓐
vd	䔚
vd	䞐
vd	䡅
vd	䣨
vd	䣩
vd	䥎
vd	䦮
vd	䫃
vd	䮞
vd	偆
vd	媋
vd	惷
vd	旾
vd	暙
vd	杶
vd	槆
vd	橁
vd	櫄
vd	浱
vd	湻
vd	滣
vd	漘
vd	犉
vd	睶
vd	箺
vd	膞
vd	芚
vd	萅
vd	萶
vd	蒓
vd	鰆
vd	鶉
vd	鶞
vd	㫩
vd	䞺
vdbx	拆东补西
vdbx	纯白
vdbz	蠢笨
vdcc	蓴
vdck	纯粹
vdco	春蚕
vdcodasnsnfsjm	春蚕到死丝方尽
vdcr	䔚
vdcr	萅
vdcr	萶
vdcw	莼
vdcw	䓐
vdcw	芚
vdcw	蒓
vdcx	蠢才
vddb	㵮
vddc	沉甸甸
vddj	滣
vddj	纯度
vddn	浱
vddo	蠢蛋
vddp	吹弹得破
vddr	湻
vddr	漘
vddu	抽刀断水
vddx	重点大学
vddz	淳
vden	陙
vdfi	重蹈覆辙
vdfi	春风
vdfideyn	春风得意
vdfifjmc	春风拂面
vdfihwyj	春风化雨
vdfimomc	春风满面
vdfivkytui	春风吹又生
vdfiyndj	春风一度
vdfj	臭豆腐
vdfr	䥎
vdfz	錞
vdfz	春分
vdga	唇膏
vdgf	䄝
vdgg	春光
vdggmlmp	春光明媚
vdgi	春耕
vdgn	鶞
vdgq	春宫
vdhk	春晖
vdho	春寒
vdholrqr	春寒料峭
vdhqvnbx	唇红齿白
vdht	醇厚
vdhu	蠢货
vdhw	纯
vdhw	春花
vdhwlcpc	蠢话连篇
vdhwlomo	春花烂漫
vdhwqbun	春华秋实
vdhwqbyf	春花秋月
vdia	櫄
vdig	春装
vdii	纯正
vdij	蠢猪
vdiq	沉得住气
vdiq	纯种
vdir	椿
vdir	䦮
vdir	䮞
vdir	槆
vdir	橁
vdiw	杶
vdix	赤胆忠心
vdiz	纯真
vdizncdx	纯真年代
vdjc	纯碱
vdjh	闯荡江湖
vdjh	春卷
vdji	重大进展
vdjl	纯净
vdjm	纯金
vdjn	春季
vdjr	㖺
vdjr	䞐
vdjv	船到江心补漏迟
vdjv	春节
vdjv	纯洁
vdjvklle	春节快乐
vdjx	唱独角戏
vdjy	赤道几内亚
vdkp	䣨
vdkp	吹弹可破
vdkr	醕
vdkw	純
vdkw	䣩
vdkx	吃得开
vdkz	醇
vdlc	春联
vdle	吃多了
vdlk	蠢驴
vdln	纯利
vdloqbjj	春兰秋菊
vdlp	春雷
vdlr	㿤
vdma	纯毛
vdmc	纯棉
vdmi	春梦
vdmiwjhz	春梦无痕
vdmr	䲠
vdmr	鰆
vdmz	鯙
vdnhhwkx	春暖花开
vdnr	媋
vdnt	㸪
vdnz	犉
vdpj	淳朴
vdpr	箺
vdqb	春秋
vdqbbnfy	春秋笔法
vdqbdlvi	春秋鼎盛
vdqbiogu	春秋战国
vdqd	超短裙
vdqguejc	唇枪舌剑
vdqi	船到桥头自然直
vdqjqblx	春去秋来
vdql	纯情
vdqn	充电器
vdqr	春
vdqs	惷
vdqt	蠢
vdrc	膞
vdrd	䏛
vdrj	朐
vdrp	䏝
vdrr	賰
vdrr	䐇
vdrr	䐏
vdrr	暙
vdrr	睶
vdrs	䏰
vdrw	肫
vdrz	蠢人
vdsd	春笋
vdse	春色
vdsu	重大损失
vdtc	春天
vdti	吹得天花乱坠
vdtj	唇
vdtl	䫃
vdtp	重大突破
vdtr	蝽
vdtr	輴
vdtr	脣
vdtt	䡅
vdtx	唱对台戏
vdue	唇舌
vduixwvs	春生夏长
vduj	纯属
vduj	重大事件
vduk	纯水
vdul	车到山前必有路
vdun	成都市
vdun	蠢事
vduy	传道授业
vdva	春潮
vdvdyjdq	蠢蠢欲动
vdvn	唇齿
vdvninbs	唇齿之邦
vdvnxgyn	唇齿相依
vdvr	㫩
vdvr	长大成人
vdwo	春晚
vdwr	堾
vdwr	旾
vdwr	䞺
vdwsvnho	唇亡齿寒
vdwt	重大问题
vdxg	醇香
vdxm	春心
vdxn	唱大戏
vdxr	偆
vdxr	吃得消
vdxr	春晓
vdxrynke	春宵一刻
vdxw	春夏
vdxwqbdq	春夏秋冬
vdya	春药
vdyd	春运
vdyj	春雨
vdyjrjyt	春雨如油
vdyn	鹑
vdyn	鶉
vdyn	春意
vdynasro	春意盎然
vdynlouo	春意阑珊
vdyr	瑃
vdyt	春游
vdyw	㝄
vdyx	重大影响
vdyz	㝇
vdzt	迟到早退
vdzy	重大作用
ve	车
ve	彻
ve	撤
ve	扯
ve	澈
ve	掣
ve	坼
ve	砗
ve	㬚
ve	尺
ve	車
ve	㒤
ve	㔭
ve	㥉
ve	㨋
ve	㯙
ve	㱌
ve	㵔
ve	㾝
ve	㿭
ve	䁤
ve	䋲
ve	䑲
ve	䒆
ve	䚢
ve	䛸
ve	䜠
ve	䞣
ve	䤁
ve	䧪
ve	䨁
ve	䰩
ve	伡
ve	俥
ve	偖
ve	勶
ve	呫
ve	唓
ve	奲
ve	屮
ve	徹
ve	揊
ve	摰
ve	撦
ve	烢
ve	烲
ve	焎
ve	爡
ve	瞮
ve	硨
ve	硩
ve	聅
ve	莗
ve	蛼
ve	迠
ve	頙
ve	䔩
veat	爡
veau	烢
vebl	撤兵
vebo	䰩
vebw	充耳不闻
vecn	车次
vect	莗
vecy	䔩
veda	车道
vedauoqcbnytlj	车到山前必有路
vedb	奲
vedh	扯断
vedi	䚢
vedi	车灯
vedk	车队
vedl	车顶
vedn	彻底
vedo	扯淡
vedo	撤单
vedq	扯动
vedr	㵔
vedy	澈
veen	䧪
veev	聅
veex	㱌
vefe	出尔反尔
vefj	车夫
vefp	车费
vefpljby	车匪路霸
vefs	撤防
vegj	彻骨
vegjljhw	车轱辘话
vegv	掣
veha	车号
vehh	撤换
vehk	撤回
vehkrzws	车毁人亡
vehq	䨁
veht	车后
vehu	车祸
veie	车辙
veij	车主
vein	撤职
veio	车展
veio	车站
veit	掣肘
veiy	㯙
veiy	车闸
vejc	车间
vejd	撤军
vejj	呫
vejj	车距
vejmljit	掣襟露肘
vejn	车技
vejt	唓
vekd	䋲
vekg	车况
vekj	车库
vekp	䤁
vekx	扯开
vel	IEL
velb	车流
veld	车轮
veldio	车轮战
vele	撤了
velg	车辆
vell	车龄
veln	撤离
velt	㾝
velx	㔭
vemb	车
vemb	車
vemy	车马
vemyladd	车马劳顿
vemz	车门
venp	车内
vepb	屮
vepi	车棚
vepl	頙
vepl	扯平
vepn	扯皮
vepr	车票
vepv	䑲
vepx	车牌
vepy	䒆
veqa	烲
veqa	焎
veqc	车钱
veqp	扯
veqr	㨋
veqr	撦
veqv	硩
veqw	揊
veqy	撤
verj	䁤
very	㬚
very	瞮
vesj	㥉
vesj	撤诉
vesj	车速
vetb	勶
vetd	彻
vetk	㿭
vetk	撤退
vett	蛼
vett	车头
vettvewp	彻头彻尾
vetx	车胎
vety	徹
veukmylq	车水马龙
veun	车市
veus	车上
veut	车手
veuz	车身
vevedndn	彻彻底底
vevg	车窗
vevh	车船
vevi	车程
vevj	扯出
vevn	尺
vevt	砗
vevt	硨
vevy	彻查
vevz	车臣
vewj	彻悟
vewj	除恶务尽
vewp	车位
vewt	坼
vewt	䞣
vewv	摰
vexc	车险
vexe	㒤
vexg	车厢
vexl	车型
vexr	偖
vexr	撤销
vext	伡
vext	俥
vexw	撤下
veye	彻夜
veyenomc	彻夜难眠
veyevsto	彻夜长谈
veyewpmc	彻夜未眠
veyh	扯远
veyhle	扯远了
veyj	䛸
veyl	䜠
veyu	惩恶扬善
vezj	迠
vezn	车子
vezt	撤走
vezx	车载
vezxdtlg	车载斗量
vfdc	出发点
vfdr	唱反调
vfdy	春风得意
vffm	春风拂面
vfgs	工欲善其事，必先利其器
vfhe	超负荷
vfhy	春风化雨
vfjw	除非己莫为
vflb	车匪路霸
vfle	吃饭了
vfmm	春风满面
vfny	嘲风弄月
vfpl	乘风破浪
vfpu	长风破浪会有时
vfqj	吃饭去
vfql	吃饭去了
vfru	超凡入圣
vfts	超凡脱俗
vftt	出风头
vfum	充分说明
vfvu	春风吹又生
vfxi	冲锋陷阵
vfxi	朝发夕至
vfxl	长方形
vfyd	春风一度
vfyf	乘风扬帆
vg	创
vg	床
vg	窗
vg	闯
vg	疮
vg	怆
vg	幢
vg	噇
vg	㡖
vg	㵂
vg	㼽
vg	䃥
vg	䇬
vg	䎫
vg	䚒
vg	䡴
vg	䭚
vg	傸
vg	刅
vg	刱
vg	剏
vg	剙
vg	創
vg	喠
vg	愴
vg	摐
vg	朣
vg	橦
vg	牀
vg	牎
vg	牕
vg	瘡
vg	磢
vg	窓
vg	窻
vg	闖
vg	䚎
vgbc	床边
vgbe	䚒
vgbo	创办
vgby	䎫
vgby	疮疤
vgda	㵂
vgdc	床垫
vgdd	刅
vgdg	称孤道寡
vgdk	长歌当哭
vgdo	床单
vgdr	唱高调
vgds	闯荡
vgdsjghj	闯荡江湖
vgdy	㼽
vgfb	幢
vgfd	刱
vgfp	㡖
vgfr	成果斐然
vggh	闯关
vggi	牀
vggs	牎
vggs	牕
vggu	闯过
vghj	窗户
vghjinyndcjbpu	窗户纸一点就破
vghk	创汇
vghu	闯祸
vgia	床罩
vgib	橦
vgii	闯
vgii	闖
vgii	常规战争
vgin	创制
vgjb	噇
vgjc	创建
vgjj	创举
vgjjtquz	创巨痛深
vgjm	闯进
vgjp	喠
vgjr	床脚
vgketv	创可贴
vgko	创刊
vgkt	窗口
vglc	窗帘
vgld	剙
vglh	车轱辘话
vglj	瘡
vglk	成功率
vgll	窗棂
vgln	创立
vglp	疮
vgls	窓
vgls	窻
vglv	出乖露丑
vglx	剏
vglx	陈规陋习
vgly	窗
vgmc	创面
vgmljnjl	窗明几净
vgmm	春光明媚
vgoi	床
vgpj	床铺
vgpp	䇬
vgqc	窗前
vgqe	䚎
vgqx	摐
vgrb	朣
vgrj	闯入
vgro	怆然
vgsj	愴
vgsp	怆
vgtb	䡴
vgtq	创痛
vgtt	床头
vgttgk	床头柜
vgtx	窗台
vgty	床榻
vgue	创设
vgun	创始
vgus	床上
vgus	创伤
vgut	创收
vgvb	䃥
vgvs	磢
vgwp	床位
vgwx	窗外
vgxb	䭚
vgxd	创
vgxd	刅
vgxd	創
vgxg	朝过夕改
vgxm	创新
vgxmniln	创新能力
vgxs	傸
vgxw	创下
vgye	创业
vgyebo	创业板
vgyh	重归于好
vgyn	创意
vgyt	创优
vgza	创造
vgzaln	创造力
vgzaxl	创造性
vgzm	陈谷子烂芝麻
vgzn	窗子
vgzu	创作
vh	传
vh	船
vh	穿
vh	川
vh	串
vh	喘
vh	椽
vh	舛
vh	氚
vh	钏
vh	遄
vh	荈
vh	舡
vh	巛
vh	㯌
vh	㱛
vh	㼷
vh	䁣
vh	傳
vh	僢
vh	剶
vh	圌
vh	堾
vh	暷
vh	椯
vh	歂
vh	汌
vh	猭
vh	玔
vh	瑏
vh	篅
vh	膞
vh	舩
vh	賗
vh	踳
vh	輲
vh	釧
vh	鶨
vh	䆤
vh	䆥
vhbb	串
vhbc	传遍
vhbjguqn	喘不过气
vhbp	川贝
vhbs	穿帮
vhbu	传播
vhbu	船舶
vhcb	荈
vhcs	川藏
vhcs	船舱
vhcx	川菜
vhda	传道
vhda	传导
vhdajgxmbjltvn	船到江心补漏迟
vhdaqrttznroin	船到桥头自然直
vhdautye	传道授业
vhdd	㱛
vhdj	趁火打劫
vhdk	船队
vhdn	传递
vhdo	传单
vhdq	传动
vhdt	汌
vhdu	长话短说
vhdx	穿戴
vhdy	传达
vhex	歂
vhey	㼷
vhfj	船夫
vhfo	船帆
vhft	钏
vhft	釧
vhgb	川
vhgp	传给
vhgq	串供
vhgu	穿过
vhha	穿好
vhhh	传唤
vhhj	楚河汉界
vhhj	传呼
vhhk	茶话会
vhhs	串行
vhhs	穿行
vhhw	传话
vhie	椯
vhie	穿着
vhij	船主
vhil	吹灰之力
vhin	船只
vhinqnrz	传之其人
vhip	窗户纸一点就破
vhiq	传中
vhiv	椽
vhiy	船闸
vhiz	㯌
vhiz	传真
vhizymxc	穿针引线
vhjcpaln	船坚炮利
vhje	喘
vhje	圌
vhjg	船桨
vhjj	川剧
vhjmdxym	穿金戴银
vhjr	传教
vhjwba	传家宝
vhkt	串口
vhktqn	喘口气
vhkx	传开
vhlbbjxn	川流不息
vhlc	串联
vhlk	穿
vhll	传令
vhlm	春花烂漫
vhlp	蠢话连篇
vhlq	春寒料峭
vhls	吃喝拉撒
vhlv	䆤
vhlv	䆥
vhlx	传来
vhmp	传媒
vhmz	串门
vhnobjvhnk	传男不传女
vhpd	剶
vhpd	吃喝嫖赌
vhpe	篅
vhph	舩
vhpj	船
vhpn	鶨
vhpo	舡
vhpp	巛
vhpr	船票
vhpu	穿破
vhqb	传球
vhqn	传奇
vhqu	春华秋实
vhqy	春花秋月
vhrc	䁣
vhrc	暷
vhrc	膞
vhre	传热
vhrj	传入
vhro	传染
vhrobl	传染病
vhrt	賗
vhrw	车毁人亡
vhrz	传人
vhsb	舛
vhsq	传送
vhsu	穿梭
vhte	輲
vhtn	冲昏头脑
vhtq	串通
vhtq	传统
vhtqghnc	传统观念
vhtqmpde	传统美德
vhtquehk	传统社会
vhtqwzhw	传统文化
vhtqynqn	串通一气
vhtt	成何体统
vhtt	穿透
vhua	串烧
vhuj	传输
vhun	传世
vhus	穿上
vhut	氚
vhut	丑话说在前头
vhut	传授
vhuu	传说
vhuv	猭
vhuz	传神
vhva	传抄
vhvb	唇红齿白
vhvh	串串
vhvi	传承
vhvj	传出
vhvjqj	传出去
vhvk	诚惶诚恐
vhvr	超乎常人
vhvs	串场
vhvs	船长
vhvy	穿插
vhwj	船坞
vhwl	吃喝玩乐
vhwpjwhw	传为佳话
vhwr	堾
vhwz	传闻
vhwz	畅行无阻
vhxb	僢
vhxc	傳
vhxc	船舷
vhxd	传讯
vhxn	喘息
vhxninjc	喘息之间
vhxnwpdl	喘息未定
vhxp	传
vhxr	传销
vhxrhadrtt	船小好调头
vhxrxv	穿小鞋
vhxv	穿鞋
vhxx	超乎想象
vhya	传谣
vhyd	船运
vhydpuwj	穿云破雾
vhyf	穿越
vhyh	船员
vhyk	瑏
vhyl	出乎意料
vhyn	穿衣
vhyndybo	穿衣打扮
vhyntrkjzn	穿一条裤子
vhyo	传言
vhys	传扬
vhyt	玔
vhzafjhk	穿凿附会
vhze	遄
vhzqjvdx	传宗接代
vhzr	踳
vhzy	吹胡子瞪眼
vi	成
vi	程
vi	城
vi	称
vi	承
vi	盛
vi	诚
vi	乘
vi	呈
vi	惩
vi	撑
vi	澄
vi	逞
vi	丞
vi	橙
vi	秤
vi	瞠
vi	骋
vi	蛏
vi	枨
vi	柽
vi	铖
vi	塍
vi	酲
vi	埕
vi	赪
vi	偁
vi	宬
vi	澂
vi	牚
vi	珵
vi	珹
vi	琤
vi	铛
vi	晟
vi	噌
vi	裎
vi	庱
vi	憕
vi	净
vi	抢
vi	鎗
vi	稱
vi	鐣
vi	郕
vi	穪
vi	脭
vi	誠
vi	絾
vi	騁
vi	頳
vi	鏿
vi	碀
vi	矃
vi	㐼
vi	㛵
vi	㞼
vi	㨃
vi	㲂
vi	㼩
vi	䀕
vi	䁎
vi	䁤
vi	䄇
vi	䆑
vi	䆵
vi	䆸
vi	䇸
vi	䔲
vi	䗊
vi	䚘
vi	䞓
vi	䧕
vi	䩶
vi	䫆
vi	䮪
vi	乗
vi	侱
vi	僜
vi	凈
vi	埩
vi	堘
vi	塖
vi	娍
vi	峸
vi	徎
vi	悜
vi	憆
vi	懲
vi	挰
vi	掁
vi	揨
vi	搶
vi	摚
vi	撐
vi	撜
vi	晿
vi	朾
vi	棖
vi	棦
vi	椉
vi	橕
vi	橖
vi	檉
vi	檙
vi	氶
vi	泟
vi	洆
vi	浧
vi	浾
vi	淨
vi	溗
vi	瀓
vi	爯
vi	畻
vi	睈
vi	窚
vi	竀
vi	筬
vi	緽
vi	罉
vi	荿
vi	蟶
vi	赬
vi	鋮
vi	鐺
vi	阷
vi	靗
vi	饓
vi	騬
vi	鯎
vi	䟓
vi	䟫
viag	秤
vias	称
vias	穪
viax	稱
viay	程
viba	城堡
viba	承包
vibe	㞼
vibjleqnht	成不了气候
vibjlntu	秤不离砣
vibl	称病
vibm	丞
vibn	氶
vibn	成正比
vibo	承办
vibp	成倍
vibs	城邦
vibx	成败
vibxdeun	成败得失
vibxusqc	成百上千
vibxzxcnynjj	成败在此一举
viby	称霸
vibz	成本
vicm	䔲
vict	荿
vicx	成才
vida	称道
vidb	净
vidb	凈
vidb	淨
vidd	浾
vide	承德
vidj	程度
vidk	成对
vidm	澄
vidm	洆
vidn	溗
vidn	称帝
vido	承担
vidp	泟
vids	承当
vidt	成都
vidtun	成都市
vidy	澂
vidy	浧
vidy	瀓
vidy	盛大
vieeysuo	惩恶扬善
viem	䧕
viep	阷
viet	峸
vife	铛
vifi	鏿
vifipuls	乘风破浪
vifiysfo	乘风扬帆
vifj	鎗
vifj	城府
vifo	盛饭
vifs	城防
vift	铖
vift	鋮
vifu	成佛
vifv	鐣
vifw	鐺
vify	惩罚
vify	叱咤风云
vifz	成分
vigh	城管
vigjdagw	称孤道寡
vign	乗
vigo	撑杆
vigq	成功
vigqlk	成功率
vigt	承购
vigu	成果
vigufpro	成果斐然
vigx	爯
vigy	裎
vigy	䄇
viha	称号
vihd	成婚
vihetntq	成何体统
vihg	橙黄
vihgvikq	诚惶诚恐
vihh	承欢
vihj	称呼
vihk	盛会
vihl	差之毫厘
vihq	橙红
vihs	盛行
vihu	成活
viia	诚招
viib	棦
viid	朾
viie	撑着
viiewsht	成者王侯
viiewshtbxiekt	成者王侯败者寇
viig	盛装
viii	䮪
viii	橖
viii	诚征
viiibn	成正比
viij	撑住
viijzxxq	成竹在胸
viik	橕
viim	橙
viin	騬
viin	诚挚
viin	称职
viinwp	称之为
viip	骋
viip	騁
viip	檙
viit	枨
viit	棖
viiv	重中之重
viiw	柽
viiw	池中之物
viiy	檉
viiz	城镇
vija	长治久安
vijb	成就
vijbgo	成就感
vijc	承建
vijc	城建
vijn	成绩
vijnsnho	成吉思汗
vijr	噌
vijr	成交
vijr	唱主角
vijv	承接
vijw	成家
vijwlnye	成家立业
vijy	呈
vike	乘客
vikg	盛况
vikl	緽
vikq	程控
vikt	诚
vikt	絾
vikx	撑开
vikx	盛开
viky	酲
vikz	诚恳
vild	䆑
vile	竀
vile	成了
vilg	乘凉
vilm	䆸
viln	成立
vilo	承揽
vilq	成龙
vilqklxj	乘龙快婿
vilr	䆵
vilt	宬
vilt	窚
vilt	城楼
vimg	晨钟暮鼓
vimi	承蒙
vimjjvue	瞠目结舌
viml	成名
vimlinxw	盛名之下
vimlinxwwjxjun	盛名之下无虚士
vimo	盛满
vimt	鯎
vimt	揣着明白装糊涂
vimz	城门
vimz	陈芝麻烂谷子
vimzlnxf	程门立雪
vimzunhu	城门失火
vinc	成年
vinc	盛年
vincrz	成年人
vind	纯真年代
vinf	吃斋念佛
vini	逞能
vinj	盛怒
vinp	城内
vint	娍
vinu	承诺
vinx	㛵
viot	䩶
vioy	庱
vipc	成片
vipm	成品
vipn	承
vipn	成批
vipt	筬
vipu	撑破
vipy	䇸
viqcbnht	惩前毖后
viqcqnht	承前启后
viqcuswo	成千上万
viqd	揨
viqd	成群
viqdjvdk	成群结队
viqg	城墙
viqg	重整旗鼓
viqh	成全
viqj	搶
viqj	城区
viqk	撐
viql	澄清
viql	盛情
viqlkhdx	盛情款待
viqlnoqf	盛情难却
viqm	撜
viqm	成亲
viqn	撑起
viqn	沉住气
viqnbjbp	乘其不备
viqnllrz	盛气凌人
viqp	抢
viqr	传之其人
viqt	掁
viqv	撑
viqv	罉
viqw	摚
viqy	挰
viqy	靗
viqz	㨃
virb	䀕
vird	矃
vird	䁎
virj	䁤
virj	诚如
viro	诚然
virr	晿
virs	承让
virt	晟
virw	瞠
virw	塍
viry	脭
viry	睈
virz	承认
virzbjznzx	成人不自在
virzinmp	成人之美
virzinwp	乘人之危
virzqjyn	成仁取义
vise	橙色
visk	牚
visk	㲂
vism	憕
visn	撑死
visndodyde	撑死胆大的
viso	撑伞
visq	称颂
visw	憆
visx	䟫
visy	悜
vita	䗊
vita	成套
vitc	成天
vite	郕
viti	盛
vitl	䫆
vitr	处之泰然
vits	惩
vits	懲
vitsiigq	呈堂证供
vitt	䚘
vitt	城头
vitu	秤砣
vituskxryyqcjm	秤砣虽小压千斤
vitw	蛏
vity	㼩
vity	徎
vity	蟶
viug	成双
viugvidk	成双成对
viui	乘胜
viuj	成熟
viul	盛衰
viulrqrj	盛衰荣辱
viun	乘
viun	诚实
viun	城市
viunbjzj	成事不足
viundyxf	城市大学
viunkeka	诚实可靠
viunutxm	诚实守信
viunzxtc	成事在天
viusqnxw	承上启下
viut	承受
vivb	碀
vive	乘车
vivh	乘船
vivh	盛传
vivj	惩处
vivn	城池
vivq	承重
vivs	成长
vivz	称臣
vivznygq	称臣纳贡
viwb	埩
viwh	成者王侯
viwj	乘务
viwk	成者王侯败者寇
viwl	頳
viwl	赬
viwn	塖
viwo	䞓
viwp	成为
viwp	称为
viwp	称之为
viwpkeni	成为可能
viwpynge	成为一个
viws	称王
viwsbxkt	成王败寇
viwsviby	称王称霸
viwt	城
viww	堘
viww	畻
viwx	赪
viwx	城外
viwy	埕
viwz	成文
vixc	呈现
vixcqnht	承先启后
vixg	城乡
vixgjvhebj	城乡结合部
vixi	饓
vixj	程序
vixjehrj	乘虚而入
vixjhw	程序化
vixjyh	程序员
vixl	成型
vixlehlx	乘兴而来
vixm	僜
vixm	诚信
vixm	诚心
vixm	称心
vixmjlyl	诚信经营
vixmrjyn	称心如意
vixmviyn	诚心诚意
vixn	承袭
vixq	称雄
vixqdadn	称兄道弟
vixr	成效
vixr	承销
vixt	重装系统
vixv	㐼
vixv	称谢
vixw	城下
vixwinmi	城下之盟
vixx	偁
vixy	侱
viya	撑腰
viyb	琤
viyb	嗤之以鼻
viyd	承运
viyg	朝中有人好做官
viyh	成员
viyh	持之以恒
viyi	椉
viyj	成语
viym	成因
viyn	诚意
viyn	出主意
viyo	盛宴
viyp	成
viyt	珹
viyt	誠
viyu	吹皱一池春水
viyx	穿针引线
viyy	珵
vizd	䟓
vizj	成组
vizj	承租
vizn	橙子
vizo	称赞
vizo	盛赞
vizu	乘坐
vizx	承载
vizx	成竹在胸
vizy	逞
vj	出
vj	处
vj	除
vj	初
vj	楚
vj	础
vj	触
vj	储
vj	畜
vj	厨
vj	矗
vj	橱
vj	躇
vj	雏
vj	锄
vj	搐
vj	褚
vj	黜
vj	刍
vj	怵
vj	杵
vj	绌
vj	蜍
vj	樗
vj	滁
vj	憷
vj	楮
vj	亍
vj	俶
vj	摴
vj	斶
vj	濋
vj	蹰
vj	䢺
vj	䝙
vj	助
vj	處
vj	禇
vj	礎
vj	觸
vj	臅
vj	貙
vj	鉏
vj	菆
vj	齣
vj	鋤
vj	蒭
vj	豠
vj	耡
vj	芻
vj	齼
vj	竌
vj	篨
vj	㔘
vj	㕏
vj	㕑
vj	㗙
vj	㗰
vj	㘜
vj	㙇
vj	㜗
vj	㡡
vj	㤕
vj	㤘
vj	㯉
vj	㶆
vj	㹼
vj	㼥
vj	䅳
vj	䊰
vj	䎝
vj	䎤
vj	䖏
vj	䙕
vj	䙘
vj	䜴
vj	䟞
vj	䟣
vj	䠂
vj	䠧
vj	䦌
vj	䧁
vj	䮞
vj	傗
vj	儊
vj	儲
vj	処
vj	嘼
vj	埱
vj	媰
vj	岀
vj	幮
vj	廚
vj	慉
vj	摢
vj	敊
vj	椘
vj	榋
vj	橻
vj	檚
vj	櫉
vj	櫖
vj	櫥
vj	欪
vj	歜
vj	泏
vj	滀
vj	炪
vj	犓
vj	珿
vj	璴
vj	竐
vj	絀
vj	耝
vj	蒢
vj	藸
vj	蟵
vj	諔
vj	豖
vj	趎
vj	躕
vj	鄐
vj	閦
vj	雛
vj	鶵
vj	齭
vj	㐥
vj	㑁
vj	㛀
vj	㮲
vjac	䖏
vjaf	處
vjag	䅳
vjat	黜
vjat	炪
vjba	传家宝
vjbaarlg	除暴安良
vjbb	耡
vjbf	竌
vjbj	䎤
vjbj	初步
vjbk	竐
vjbl	出兵
vjbm	出殡
vjbo	出版
vjboue	出版社
vjbp	储备
vjbplg	储备粮
vjbq	出简不出全
vjbs	䎝
vjbu	耝
vjbx	除旧布新
vjby	㼥
vjca	蒢
vjca	除草
vjcd	储存
vjcg	蒭
vjck	菆
vjcn	初次
vjcninwx	除此之外
vjcnxwce	出此下策
vjcr	藸
vjcs	储藏
vjcu	出错
vjcx	出彩
vjda	滁
vjda	出道
vjdc	触电
vjde	刍
vjdg	超级大国
vjdi	初等
vjdn	触底
vjdq	雏
vjdq	出动
vjdq	触动
vjdr	㶆
vjdr	除掉
vjdt	触
vjdt	觸
vjdt	泏
vjdw	滀
vjdx	濋
vjdy	穿金戴银
vjea	除
vjeb	亍
vjee	岀
vjeewjjm	除恶务尽
vjeh	初二
vjehfoeh	出尔反尔
vjej	䧁
vjfb	锄
vjfb	鋤
vjfc	㡡
vjfc	幮
vjfitt	出风头
vjfo	触犯
vjfp	㐥
vjfp	除非
vjfpjnmuwp	除非己莫为
vjfs	厨房
vjft	斶
vjfu	鉏
vjfy	出发
vjfydc	出发点
vjfz	处分
vjga	初稿
vjgd	初
vjge	出格
vjgk	橱柜
vjgk	出轨
vjglljvt	出乖露丑
vjgm	初具规模
vjgo	触感
vjgo	成就感
vjgr	褚
vjgr	禇
vjgs	䙘
vjgs	出港
vjgu	出国
vjgx	䙕
vjhehojv	楚河汉界
vjhh	楚界汉河
vjhj	出乎
vjhjynlr	出乎意料
vjhl	长江后浪推前浪
vjho	出汗
vjht	绌
vjhu	出货
vjhx	歜
vjhx	除害
vjia	㯉
vjia	出招
vjic	橱
vjic	櫉
vjic	櫥
vjie	榋
vjig	㮲
vjii	出征
vjij	樗
vjij	长久之计
vjijyn	出主意
vjin	处置
vjintxro	处之泰然
vjio	出战
vjio	持久战
vjip	椘
vjiq	初衷
vjiq	初中
vjir	楮
vjir	䊰
vjir	䮞
vjis	櫖
vjit	橻
vjiw	䦌
vjix	楚
vjix	䠂
vjix	檚
vjix	閦
vjiy	杵
vjiz	出诊
vjjbbjxm	除旧布新
vjjbylxm	除旧迎新
vjjcbjvjqh	出简不出全
vjjcvixr	初见成效
vjjf	触觉
vjjg	㗙
vjjgrjxg	出将入相
vjjj	嘼
vjjj	出局
vjjjgkmu	初具规模
vjjl	出境
vjjluiql	触景生情
vjjm	出尽
vjjn	初级
vjjr	触角
vjjv	出借
vjjvhohe	楚界汉河
vjjw	出家
vjjx	㗰
vjkl	春节快乐
vjkq	触控
vjkqbo	触控板
vjkt	絀
