;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=32
Pinyin=@
PinyinLength=32
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a	安
auls	翶
aumb	奡
aumb	艹
aumk	镺
aumn	奥秘
aumo	傲慢
aumr	奥妙
aumrwjqq	奥妙无穷
aumy	䦋
aumy	阿诗玛
aumz	澳门
auna	懊恼
aunabjyn	懊恼不已
aund	㜩
auni	媪
auni	媼
auny	㜜
auny	爱沙尼亚
auof	鏖
auoi	䯠
auoy	廒
auqa	熬
auqb	拗
auqd	擙
auqe	聱
auqe	嶅
auqf	鏊
auqi	骜
auqi	驁
auqj	嗸
auqj	謷
auqk	扷
auql	䫨
auqm	鳌
auqm	鰲
auqn	嫯
auqn	鷔
auqn	傲气
auqp	鼇
auqp	抝
auqs	㥿
auqt	螯
auqu	獒
auqv	摮
auqx	傲视群雄
auqy	敖
auqy	䵅
aurb	眑
aurd	䐿
auro	傲然
aurotlln	傲然挺立
auroynln	傲然屹立
aurz	傲人
ausd	懊
ause	郩
ausk	㤇
ausnky	奥斯卡
ausnlj	奥斯陆
auss	懊丧
ausy	慠
autb	軪
autj	凹凸
autjbjpl	凹凸不平
autjytin	凹凸有致
autq	唉声叹气
auts	熬汤
auttjl	凹透镜
autx	昂首挺胸
auty	厫
auuj	奥数
auun	傲视
auunqdxq	傲视群雄
auup	爱谁谁
auuy	獓
auvi	熬成
auvy	磝
auwb	坳
auwd	墺
auwh	㘬
auwk	䞝
auwm	垇
auwp	㘭
auwphk	奥委会
auwy	墽
auxb	㑃
auxc	凹陷
auxg	翱翔
auxw	凹下
auxy	傲
auya	熬药
auyd	䜒
auyd	奥运
auydhk	奥运会
auye	熬夜
auyh	澳元
auyk	㿰
auyn	奥义
auyt	遨游
auyy	璈
auyy	謸
auzs	翺
auzy	遨
avln	按常理
avlu	按常理来说
avxy	暗潮汹涌
avzj	阿昌族
awhk	奥委会
awjw	爱屋及乌
awtr	暗无天日
axbx	爱信不信
axcz	暗箱操作
axfp	按需分配
axhp	按下葫芦起来瓢
axjl	爱新觉罗
axuy	暗香疏影
axwn	安享晚年
axym	爱惜羽毛
ay	阿
ay	啊
ay	锕
ay	吖
ay	腌
ay	呵
ay	嗄
ay	錒
aybjhyzn	阿布哈兹
aybjiybn	阿布扎比
aybndnyj	阿鼻地狱
aybu	阿伯
aybulu	阿波罗
ayby	阿爸
ayehbynnyy	阿尔巴尼亚
ayehfy	阿尔法
ayehjneh	阿尔及尔
ayehjnlnyy	阿尔及利亚
ayej	阿
ayfj	锕
ayfj	錒
ayfjho	阿富汗
ayfotn	阿凡提
ayfsgq	阿房宫
ayfv	阿谀奉承
ayfy	阿谀逢迎
ayge	阿哥
aygq	阿公
aygztl	阿根廷
ayhk	奥运会
ayhq	阿訇
ayhy	啊哈
ayii	安营扎寨
ayjj	啊
ayjj	呵
ayjk	吖
ayjnmnde	阿基米德
ayjr	阿胶
ayjy	嗄
aylcqb	阿联酋
ayljby	阿鲁巴
aylnbyby	阿里巴巴
aylnuo	阿里山
ayly	阿拉
aylybu	阿拉伯
aylybulcheqbvsgu	阿拉伯联合酋长国
aylybuujzn	阿拉伯数字
aylydl	阿拉丁
aymaaygt	阿猫阿狗
aymjsntedo	阿姆斯特丹
aymntufu	阿弥陀佛
aymo	阿曼
aymp	阿妹
aymy	阿妈
aymz	阿门
aypu	阿婆
ayqnsuha	阿其所好
ayrd	腌
aysnpnlm	阿司匹林
ayst	爱因斯坦
aysxbxjg	阿塞拜疆
aytn	阿嚏
ayunmy	阿诗玛
ayvszj	阿昌族
aywp	哎呦喂
ayxi	安于现状
ayyjfivi	阿谀奉承
ayyjfiyl	阿谀逢迎
ayyn	阿姨
ayyu	啊哟
ayyy	啊呀
azbl	艾滋病
azfm	爱憎分明
azqx	暗自庆幸
azzd	爱咋咋地
b	不
ba	报
ba	保
ba	包
ba	宝
ba	暴
ba	抱
ba	爆
ba	胞
ba	薄
ba	堡
ba	剥
ba	饱
ba	鲍
ba	豹
ba	曝
ba	褒
ba	刨
ba	苞
ba	葆
ba	雹
ba	孢
ba	龅
ba	煲
ba	褓
ba	鸨
ba	趵
ba	枹
ba	炮
ba	瀑
ba	飽
ba	菢
ba	賲
ba	袌
ba	窇
ba	笣
ba	藵
ba	㙅
ba	㙸
ba	㫧
ba	㲏
ba	㲒
ba	㵡
ba	㻄
ba	㿺
ba	䈏
ba	䎂
ba	䤖
ba	䥤
ba	䨌
ba	䨔
ba	䪨
ba	䭋
ba	䳈
ba	䳰
ba	䴐
ba	佨
ba	儤
ba	剝
ba	勹
ba	勽
ba	嚗
ba	堢
ba	報
ba	媬
ba	宲
ba	寚
ba	寳
ba	寶
ba	忁
ba	怉
ba	曓
ba	犦
ba	犳
ba	珤
ba	緥
ba	蕔
ba	虣
ba	蚫
ba	裦
ba	襃
ba	鉋
ba	鑤
ba	铇
ba	闁
ba	靌
ba	飹
ba	駂
ba	骲
ba	髱
ba	鮑
ba	鳵
ba	鴇
ba	齙
baah	炮
baar	保安
baarzj	保安族
baav	爆
baba	宝宝
babc	褒贬
babl	薄冰
babn	包庇
babo	包办
babodxtn	包办代替
babp	宝贝
babr	保镖
babr	报表
babv	䪨
babz	保本
bacc	薄
bacd	保存
bach	苞
bach	菢
baci	葆
back	藵
back	蕔
baco	饱餐
bacoutqf	抱残守缺
bacs	宝藏
bacs	爆仓
bacshuxm	包藏祸心
bacu	报错
bacx	包菜
bada	报到
bada	报道
badabjla	宝刀不老
badc	宝典
badh	㵡
badj	报毒
badl	保定
badn	宝地
bado	保单
badq	暴动
badr	剥掉
badu	剥夺
badv	瀑
badv	暴跌
bady	报答
baed	剥
bael	北爱尔兰
baer	报恩
bafh	䥤
bafh	鉋
bafh	铇
bafi	暴风
bafiyj	暴风雨
bafj	包袱
bafj	报复
bafp	报废
bafs	包房
bafv	鑤
bafy	爆发
bafyhj	暴发户
baga	报告
bagawzxf	报告文学
bage	饱嗝
bagg	曝光
bagg	剥光
bagh	保管
bagi	褓
bagi	㲏
bagj	包谷
bagk	宝贵
bago	包干
bagp	勹
bagq	包公
bagqbalr	包工包料
bagqtt	包工头
bagu	包裹
bagx	宝盖
bahe	饱和
bahe	薄荷
bahh	包换
bahj	保护
bahjfihe	暴虎冯河
bahjso	保护伞
bahjxl	保护性
baho	包含
bahobjineehojn	饱汉不知饿汉饥
bahs	暴行
bahx	不安好心
bahz	抱恨
bahziqtc	抱恨终天
baid	保准
baie	抱着
baig	包装
baih	枹
baii	闁
baii	保证
baiijm	保证金
baij	抱住
bain	报纸
bainbalg	保质保量
bainbxbl	包治百病
bainqn	保质期
bainynln	报之以李
baio	报站
bais	保障
bait	煲粥
baiy	包扎
baiy	爆炸
baiz	抱枕
bajb	薄酒
bajc	宝剑
bajc	保健
bajcficqmulnvj	宝剑锋从磨砺出
bajcpm	保健品
bajd	暴君
bajg	褒奖
bajj	保举
bajl	报警
bajlcsss	饱经沧桑
bajlfiug	饱经风霜
bajm	抱紧
bajn	宝鸡
bajv	嚗
bajv	保洁
bajw	报价
bajwhjhs	保驾护航
bajwlnyy	保加利亚
bajwwpgu	保家卫国
baka	报考
bake	䨌
bake	剥壳
bakh	雹
baki	緥
bakj	宝库
bakl	靌
bako	报刊
bakq	暴恐
baku	包括
bakv	䤖
baky	䨔
balb	保留
bald	刨
bale	报了
balh	包
balh	窇
balh	暴乱
bali	㲒
bali	宲
bali	駂
bali	爆冷
balimz	爆冷门
balj	暴露
baljvjlx	暴露出来
baljwjyn	暴露无遗
balk	宝
ball	寳
ball	寶
ballqb	保龄球
baln	鸨
baln	䴐
baln	鴇
baln	暴力
baln	剥离
balnduxr	薄利多销
balnksfy	暴力抗法
balo	包揽
balp	堡垒
balq	寚
balr	爆料
balu	包罗
baluwoxg	包罗万象
balv	爆裂
balx	勽
bamc	薄面
bamf	虣
bamh	鲍
bamh	髱
bamh	鮑
bamj	报幕
bamj	保姆
baml	报名
bamn	保密
bamnxl	保密性
bamo	饱满
bamp	胞妹
bamu	薄膜
bamy	宝马
bamyxgve	宝马香车
banf	暴虐
banh	䳈
banh	保暖
banhsnymyj	饱暖思淫欲
bani	媬
banj	暴怒
banv	犦
baoh	骲
bapd	剝
baph	龅
baph	笣
baph	齙
bapi	爆棚
bapn	鳵
bapn	报批
bapn	剥皮
bapo	报盘
bapp	包赔
bapr	包票
bapu	爆破
bapv	豹
bapw	䈏
baqc	抱歉
baqh	抱
baqh	不安全
baqh	保全
baqj	抱屈
baqk	报
baql	报请
baql	薄情
baqltc	包青天
baqn	抱起
barh	胞
bari	㫧
bark	㿺
barl	曓
barq	包容
barqxl	包容性
baru	薄弱
baruhhjv	薄弱环节
barv	暴
barv	曝
barz	保人
bash	䎂
bash	怉
basn	暴死
basq	报送
bass	报丧
batctcwj	暴殄天物
bath	蚫
bath	抱团
batj	暴徒
